stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STP-0373,0373,LA CROIX,,43.6526162,6.9524367,,,0,STA-STP-0373,,
STP-0374,0374,LA CROIX,,43.6529288,6.9527141,,,0,STA-STP-0374,,
STP-0375,0375,LA CROIX DES MOULIERES,,43.6321277,6.9231615,,,0,STA-STP-0375,,
STP-0376,0376,LA CROIX DES MOULIERES,,43.632326,6.9230159,,,0,STA-STP-0376,,
STP-0378,0378,LE CROS,,43.5872796,6.9391052,,,0,STA-STP-0378,,1
STP-0379,0379,LE CROS,,43.5870827,6.9397344,,,0,STA-STP-0379,,1
STP-0380,0380,CROUET,,43.6566416,6.9238959,,,0,STA-STP-0380,,
STP-0381,0381,CROUET,,43.6568697,6.9245082,,,0,STA-STP-0381,,
STP-0382,0382,LES CYPRES,,43.6381173,6.9232448,,,0,STA-STP-0382,,
STP-0383,0383,LES CYPRES,,43.6381589,6.9230165,,,0,STA-STP-0383,,
STP-0384,0384,LA DEGOUTE,,43.6157015,6.9336513,,,0,STA-STP-0384,,
STP-0387,0387,DOCTEUR BELLETRUD,,43.6378528,6.8560832,,,0,STA-STP-0387,,
STP-0388,0388,DOCTEUR BELLETRUD,,43.6373688,6.8569383,,,0,STA-STP-0388,,
STP-0389,0389,DOMAINE DE CANTEPERDRIX,,43.6356455,6.9076874,,,0,STA-STP-0389,,
STP-0390,0390,DOMAINE DE CANTEPERDRIX,,43.6362534,6.9080208,,,0,STA-STP-0390,,
STP-0393,0393,DOMAINE DE L'ISTRE,,43.6292853,6.8437583,,,0,STA-STP-0393,,
STP-0394,0394,ECOLE AIME LEGALL,,43.6200495,6.9736926,,,0,STA-STP-0394,,1
STP-0395,0395,AIME LEGALL,,43.6220867,6.9735374,,,0,STA-STP-0395,,1
STP-0396,0396,ANTOINE CRESP,,43.650567,6.796026,,,0,STA-STP-0396,,
STP-0397,0397,ECOLE DE L OREE DU BOIS,,43.6138544,6.9677549,,,0,STA-STP-0397,,
STP-0400,0400,ECOLE ST FRANCOIS,,43.6502814,6.9001698,,,0,STA-STP-0400,,
STP-0402,0402,ECOLE SAINT-MATHIEU,,43.6593735,6.9450108,,,0,STA-STP-0402,,
STP-0404,0404,ECOLE DU BAYLE 1,,43.6050028,6.9128367,,,0,STA-STP-0404,,
STP-0405,0405,ECOLE DU BAYLE 2,,43.6052946,6.9134594,,,0,STA-STP-0405,,
STP-0406,0406,ECOLE FRANCOIS JACOB,,43.6157296,6.9496663,,,0,STA-STP-0406,,
STP-0408,0408,ECOLE SAINT-ANTOINE,,43.6439817,6.9302533,,,0,STA-STP-0408,,
STP-0409,0409,ECOLE SAINT-ANTOINE,,43.6441254,6.9302479,,,0,STA-STP-0409,,
STP-0410,0410,ECOLE VIEILLE,,43.57745234,6.95956573,,,0,STA-STP-0410,,1
STP-0411,0411,ECOLE VIEILLE,,43.57729267,6.95975229,,,0,STA-STP-0411,,1
STP-0412,0412,MATHIAS DUVAL,,43.653294,6.9212699,,,0,STA-STP-0412,,1
STP-0413,0413,CARNOT,,43.6546221,6.92132041,,,0,STA-STP-0413,,1
STP-0414,0414,LES EMERAUDES,,43.6644709,6.9349928,,,0,STA-STP-0414,,
STP-0415,0415,EMILE ZOLA,,43.6561718,6.9194172,,,0,STA-STP-0415,,
STP-0416,0416,EMILE ZOLA,,43.6560018,6.9193829,,,0,STA-STP-0416,,
STP-0417,0417,EMILIE CHIRIS,,43.6577057,6.9088144,,,0,STA-STP-0417,,
STP-0418,0418,EMILIE CHIRIS,,43.657571,6.9087848,,,0,STA-STP-0418,,
STP-0419,0419,EMMANUEL ROUQUIER,,43.6395746,6.941393,,,0,STA-STP-0419,,
STP-0420,0420,EMMANUEL ROUQUIER,,43.6399657,6.9418033,,,0,STA-STP-0420,,
STP-0421,0421,LES CYPRINES,,43.6911201,6.8636117,,,0,STA-STP-0421,,
STP-0422,0422,LES CYPRINES,,43.6911741,6.8640194,,,0,STA-STP-0422,,
STP-0424,0424,ESPACE CHIRIS,,43.6574889,6.9280872,,,0,STA-STP-0424,,
STP-0425,0425,ESPACE CHIRIS,,43.6574453,6.9282055,,,0,STA-STP-0425,,
STP-0426,0426,ESPACE PALISSY,,43.624917,6.9628963,,,0,STA-STP-0426,,
STP-0427,0427,ESPACE PALISSY,,43.6250244,6.9624824,,,0,STA-STP-0427,,
STP-0428,0428,EXPLOR,,43.6519821,6.9476701,,,0,STA-STP-0428,,1
STP-0429,0429,EXPLOR,,43.6528782,6.946543,,,0,STA-STP-0429,,1
STP-0430,0430,LE GROS RIBAS,,43.79607383,6.74163852,,,0,STA-STP-0430,,
STP-0431,0431,LE GROS RIBAS,,43.79617929,6.74167702,,,0,STA-STP-0431,,
STP-0432,0432,LA FENERIE,,43.58249797,6.92704079,,,0,STA-STP-0432,,
STP-0433,0433,LA FENERIE,,43.582575,6.927068,,,0,STA-STP-0433,,1
STP-0436,0436,DOMAINE DE LA ROSE,,43.6677433,6.9475095,,,0,STA-STP-0436,,
STP-0437,0437,DOMAINE DE LA ROSE,,43.6677546,6.9474282,,,0,STA-STP-0437,,
STP-0438,0438,LES FERMES,,43.5942554,6.9304694,,,0,STA-STP-0438,,
STP-0439,0439,LES FERMES,,43.5941838,6.9305695,,,0,STA-STP-0439,,
STP-0440,0440,LES FLEURS,,43.65467031,6.91808139,,,0,STA-STP-0440,,
STP-0441,0441,LES FLEURS,,43.65483491,6.91796686,,,0,STA-STP-0441,,
STP-0442,0442,LES FLEURS DE GRASSE,,43.6423544,6.9465052,,,0,STA-STP-0442,,
STP-0443,0443,LES FLEURS DE GRASSE,,43.64323,6.9459614,,,0,STA-STP-0443,,
STP-0444,0444,LES FLORALIES,,43.6540877,6.9304813,,,0,STA-STP-0444,,1
STP-0445,0445,LES FLORALIES,,43.6542335,6.9309634,,,0,STA-STP-0445,,1
