distance_km,dist_to_600,co2_train_kg,co2_avion_kg,vehicule_type,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population,ratio_origin,ratio_dest,trip_count_corridor,trip_count_origin,service_share,is_substitutable
211.11258543233495,-388.887414567665,1.6758117031618749,91.2834832789129,12,21423.0,691.0,8102780.0,161830.0,31.00289435600579,50.069702774516465,5.0,120.0,0.0416666666666666,1
130.31203481240263,-469.68796518759734,1.034416932340852,81.69552742130924,4,110057.0,1807.0,3339139.0,92188.0,60.905921416712786,36.22097236082787,5.0,192.0,0.0260416666666666,1
192.4382769160109,-407.56172308398914,1.5275750421592946,80.83205125961992,12,202783.0,4302.0,21423.0,691.0,47.13691306369131,31.00289435600579,5.0,134.0,0.0373134328358208,1
115.16591615283906,-484.83408384716097,6.602461973042264,73.5748839459829,13,24568668.0,293771.0,9213438.0,103671.0,83.63203992225236,88.8718928147698,15.0,31.0,0.4838709677419355,1
229.05210518354497,-370.947894816455,1.81821561094698,89.07514005945448,12,42434779.0,519127.0,132116.0,2780.0,81.74257744251406,47.523741007194246,22.0,4698.0,0.0046828437633035,1
103.44275959856716,-496.55724040143286,0.0912365139659362,0.0,12,0.0,0.0,0.0,20927.0,0.0,0.0,60.0,6379.0,0.0094058629879291,1
127.6446373522191,-472.3553626477809,7.3178670594027215,86.17616942087686,12,0.0,630305.0,0.0,58403.0,0.0,0.0,4.0,352.0,0.0113636363636363,0
136.42368135239843,-463.57631864760157,2.647165112961939,93.62286588714072,9,0.0,0.0,0.0,963395.0,0.0,0.0,13.0,2078.0,0.0062560153994225,1
100.80818851149031,-499.1918114885097,5.779333447363741,69.75370996134207,12,0.0,0.0,0.0,0.0,0.0,0.0,15.0,140.0,0.1071428571428571,1
133.7381946431883,-466.2618053568117,1.0616137890776287,89.63265808591703,12,2514013.0,310240.0,1248583.0,46080.0,8.103445719443013,27.095985243055555,3.0,348.0,0.0086206896551724,1
116.29373505141668,-483.70626494858334,0.9231396688381456,74.74360876847322,12,503306.0,12469.0,23150.0,1690.0,40.364584168738475,13.698224852071005,1.0,75.0,0.0133333333333333,1
160.71156365148718,-439.28843634851285,3.1184471810934573,115.17061456310856,7,0.0,0.0,0.0,0.0,0.0,0.0,349.0,2912.0,0.1198489010989011,1
109.18055505704288,-490.81944494295715,6.25932122142027,70.75592065503804,12,0.0,0.0,0.0,0.0,0.0,0.0,15.0,275.0,0.0545454545454545,1
103.87823159786824,-496.12176840213175,2.015653205925035,74.68108286080623,7,0.0,60737.0,934.0,0.0,0.0,0.0,18.0,414.0,0.0434782608695652,1
103.7957321171556,-496.2042678828444,5.950609322276531,0.0,12,0.0,0.0,106903.0,0.0,0.0,0.0,16.0,214.0,0.0747663551401869,1
123.51120562219305,-476.4887943778069,0.9804319502289685,95.71441035602292,12,4451.0,480.0,24031.0,1796.0,9.272916666666667,13.380289532293986,2.0,49.0,0.0408163265306122,1
333.922526431179,-266.077473568821,2.650677014810699,108.21341729857669,14,188743.0,3579.0,0.0,159022.0,52.73623917295334,0.0,53.0,352.0,0.1505681818181818,1
256.7560039912482,-343.2439960087518,2.038129159682528,100.9145741493976,12,4258709.0,92188.0,1769256.0,8035.0,46.19591486961426,220.19365276913504,6.0,379.0,0.0158311345646438,1
