distance_km,vehicule_type,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population,ratio_origin,ratio_dest,trip_count_corridor,trip_count_origin,service_share,co2_saved_kg
124.46211290338388,12,0.0,5086.0,0.0,140385.0,0.0,0.0,4.0,439.0,0.0091116173120728,70.86372216685136
110.4870626247634,12,15905.0,706.0,847526.0,19206.0,22.52832861189802,44.12818910757055,15.0,65.0,0.2307692307692307,65.46025967879484
233.5165489835528,14,0.0,20927.0,0.0,0.0,0.0,0.0,12.0,8569.0,0.0014003967790874,91.43658486189396
178.86445818374273,12,26122.0,1363.0,45834.0,10335.0,19.16507703595011,4.434833091436865,1.0,130.0,0.0076923076923076,114.38794075273024
146.82964317548848,4,15689647.0,230890.0,28711.0,1167.0,67.95290831131707,24.602399314481577,1.0,1533.0,0.0006523157208088,98.237055507332
634.7742006685237,11,25331979.0,238246.0,203396.0,925.0,106.326985552748,219.88756756756757,2.0,76.0,0.0263157894736842,157.45290172305704
194.56301949850993,12,206581.0,14024.0,149961.0,0.0,14.730533371363377,0.0,1.0,134.0,0.0074626865671641,113.31965253962322
145.38294421065774,12,41074.0,0.0,0.0,0.0,0.0,0.0,8.0,211.0,0.0379146919431279,101.18979609552876
107.73621473370966,7,0.0,0.0,336887.0,16684.0,0.0,20.192220091105252,186.0,1173.0,0.1585677749360614,83.9855698178918
148.73578192533367,7,8244.0,63185.0,0.0,0.0,0.13047400490622774,0.0,3.0,6886.0,0.0004356665698518,94.58453088862598
103.99405363390063,14,0.0,48033.0,0.0,46282.0,0.0,0.0,100.0,742.0,0.1347708894878706,73.31974031667323
283.12011064155996,12,1371500.0,74568.0,336887.0,6250.0,18.392608089260808,53.90192,7.0,266.0,0.0263157894736842,112.34713146724114
470.89018459567745,5,0.0,3487.0,4448487.0,0.0,0.0,0.0,9.0,132.0,0.0681818181818181,99.49442268815392
103.93321277292164,12,6642464.0,238246.0,344909.0,4297.0,27.880694744088043,80.26739585757505,1.0,39.0,0.0256410256410256,67.81181985004007
114.07141785140291,13,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,0.125,74.5001284814789
493.4793643867344,12,56169.0,2103778.0,520552.0,20050.0,0.026699109887069833,25.96269326683292,4.0,216.0,0.0185185185185185,98.42144212269116
118.5384022936319,8,111228.0,8658.0,136541.0,6412.0,12.846846846846846,21.294603867747973,30.0,80.0,0.375,65.21812933200185
114.89406173116416,8,0.0,0.0,0.0,132761.0,0.0,0.0,470.0,1398.0,0.3361945636623748,69.59639788912355
107.39238196696505,12,75554.0,85038.0,28711.0,373.0,0.8884733883675533,76.97319034852546,5.0,57.0,0.087719298245614,77.88149861674962
146.17368666839596,12,7116373.0,159022.0,34742.0,2892.0,44.75087094867377,12.01313969571231,9.0,320.0,0.028125,87.75448931370003
634.3657672469222,13,3472422.0,40250.0,122917.0,2849.0,86.27135403726709,43.14391014391014,3.0,37.0,0.081081081081081,140.6530464379965
137.5367682290801,12,0.0,0.0,0.0,0.0,0.0,0.0,28.0,118.0,0.2372881355932203,73.82974328408422
146.0936982339544,8,0.0,22930.0,0.0,52824.0,0.0,0.0,46.0,2129.0,0.0216063879755753,88.34422694496473
314.0006543548913,12,95106.0,2789.0,7871334.0,519127.0,34.100394406597346,15.162636503206345,11.0,156.0,0.0705128205128205,101.6962014727837
128.0450714869737,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,496.0,0.002016129032258,71.15336641729581
147.9936926124106,12,0.0,0.0,0.0,107319.0,0.0,0.0,2.0,71.0,0.028169014084507,78.03695254531446
130.25241017581538,12,91712.0,162.0,518190.0,690.0,566.1234567901234,751.0,19.0,73.0,0.2602739726027397,74.1421381958927
136.88099170660277,12,0.0,30096.0,0.0,0.0,0.0,0.0,2.0,618.0,0.0032362459546925,84.1377860817315
181.9407486141935,12,24568668.0,293771.0,11803.0,0.0,83.63203992225236,0.0,4.0,479.0,0.0083507306889352,100.79173115739736
177.66357207969256,14,0.0,16797.0,0.0,21503.0,0.0,0.0,57.0,6839.0,0.0083345518350636,103.48276652658696
626.2199396585688,12,192308.0,3199.0,3472422.0,40250.0,60.11503594873398,86.27135403726709,1.0,41.0,0.024390243902439,147.991345904646
102.40866790812308,12,9165.0,1327.0,6564.0,747.0,6.906556141672946,8.78714859437751,6.0,36.0,0.1666666666666666,65.91596701333302
138.66745188564929,12,193090.0,4392.0,39128.0,0.0,43.96402550091074,0.0,34.0,201.0,0.1691542288557214,92.21043823379472
133.2424295763607,12,68920.0,6444.0,1077839.0,42971.0,10.695220360024829,25.082939656977963,25.0,814.0,0.0307125307125307,80.64771419599822
129.11177980743997,12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5059.0,0.0007906700929037,78.6789346508685
131.0146559588578,12,278696.0,75580.0,7116373.0,159022.0,3.687430537179148,44.75087094867377,15.0,30.0,0.5,84.9055194040372
145.11515532877735,13,8102780.0,161830.0,71640.0,33085.0,50.069702774516465,2.165331721323863,2.0,1632.0,0.0012254901960784,96.63558060491668
160.44530745002385,12,0.0,963395.0,40856.0,76684.0,0.0,0.5327838923373845,4.0,2002.0,0.0019980019980019,97.36333308437656
168.94666490476726,10,4258709.0,92188.0,569006.0,0.0,46.19591486961426,0.0,72.0,697.0,0.103299856527977,106.84296510439218
366.36632579781593,12,1696120.0,45102.0,0.0,0.0,37.6063145758503,0.0,1.0,17.0,0.0588235294117647,111.07642369307226
389.5338424580362,12,42725621.0,2103778.0,5702065.0,104978.0,20.308996956903247,54.31676160719389,35.0,624.0,0.0560897435897435,116.02108638286482
158.47245076538846,12,8102780.0,161830.0,243720.0,10996.0,50.069702774516465,22.16442342670062,2.0,1073.0,0.0018639328984156,102.8275993400674
493.8587287975448,5,45927.0,813.0,889814.0,2103778.0,56.49077490774908,0.4229600271511538,9.0,132.0,0.0681818181818181,83.45468835434205
230.70479052544937,12,46150.0,0.0,7013155.0,139259.0,0.0,50.36051529883167,5.0,72.0,0.0694444444444444,91.69630138048714
150.7306149465398,12,0.0,81275.0,0.0,0.0,0.0,0.0,2.0,893.0,0.0022396416573348,95.04084728392932
121.86551190353504,7,56169.0,0.0,0.0,0.0,0.0,0.0,218.0,1438.0,0.1515994436717663,86.17987699037388
195.7598849820955,12,59671.0,0.0,42068.0,5804.0,0.0,7.248104755341144,5.0,10.0,0.5,118.72816081925694
168.34352380750536,13,13672.0,8414.0,73196.0,0.0,1.624910862847635,0.0,2.0,35.0,0.0571428571428571,103.07180961396458
127.1325985708157,13,2423475.0,57587.0,39197.0,888.0,42.083716811085836,44.140765765765764,1.0,360.0,0.0027777777777777,80.90548601675562
124.04522855620888,12,0.0,0.0,0.0,0.0,0.0,0.0,20.0,104.0,0.1923076923076923,74.60321325352992
177.93790767515023,13,0.0,38099.0,0.0,0.0,0.0,0.0,1.0,661.0,0.0015128593040847,69.20201040393331
114.2098877148274,13,0.0,0.0,0.0,16523.0,0.0,0.0,11.0,892.0,0.0123318385650224,69.66200588128999
164.91874057137915,7,28711.0,0.0,0.0,19299.0,0.0,0.0,72.0,2058.0,0.0349854227405247,92.42963611325813
