stop_id,station_name,stop_country,stop_timezone,station_lat,station_long,location_type,stop_name_romanized,stop_name_alt,stop_cityname,stop_cityname_romanized,stop_cityname_alt,stop_tariffname,stop_charge,stop_uic_code,stop_code,stop_region,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25,_c26,_c27,_c28,_c29
Bad Hofgastein,Bad Hofgastein,AT,CET,47.17256,13.09874,1.0,,,,,,AT_3.d,,,826,Salzburg,,,,,,,,,,,,,
Bad Ischl,Bad Ischl,AT,CET,47.71238,13.62095,1.0,,,,,,AT_3.d,,,940,Oberösterreich,,,,,,,,,,,,,
Bad Mitterndorf,Bad Mitterndorf,AT,CET,47.55463,13.93601,1.0,,,,,,AT_3.d,,,127,Steiermark,,,,,,,,,,,,,
Bad Mitterndorf-Heilbrunn,Bad Mitterndorf-Heilbrunn,AT,CET,47.55115,13.92534,1.0,,,,,,AT_3.d,,,128,Steiermark,,,,,,,,,,,,,
Bad Radkersburg,Bad Radkersburg,AT,CET,46.68868,15.99026,1.0,,,,,,AT_3.d,,,1805,Steiermark,,,,,,,,,,,,,
Bad Ried,Bad Ried,AT,CET,48.21272,13.49272,1.0,,,,,,AT_3.d,,,1825,Oberösterreich,,,,,,,,,,,,,
Bad Sauerbrunn,Bad Sauerbrunn,AT,CET,47.77611,16.3286,1.0,,,,,,AT_3.d,,,1939,Burgenland,,,,,,,,,,,,,
Bad Schallerbach-Wallern,Bad Schallerbach-Wallern,AT,CET,48.22888,13.92231,1.0,,,,,,AT_3.c,,,2365,Oberösterreich,,,,,,,,,,,,,
Bad Schwanberg,Bad Schwanberg,AT,CET,46.75713,15.2,1.0,,,,,,AT_3.d,,,2175,Steiermark,,,,,,,,,,,,,
Bad Vigaun,Bad Vigaun,AT,CET,47.6635,13.13134,1.0,,,,,,AT_3.c,,,843,Salzburg,,,,,,,,,,,,,
Bad Vöslau,Bad Vöslau,AT,CET,47.96482,16.21384,1.0,,,,,,AT_3.c,,,253,Niederösterreich,,,,,,,,,,,,,
