origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Avion,47.6333,7.9412,47.671299,9.51149,,,,airports,OurAirports,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,117.69488401512909,75.50541228176218,Hütten Glider Field,Bodensee Airport Friedrichshafen
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.6533671,9.473588,06:12:00,08:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,100.79148746825035,0.08889809194699681,,
Albi Ville,Paris Austerlitz,Avion,43.913898,2.11306,48.72333,2.37944,,,,airports,OurAirports,Albi Ville,Paris Austerlitz,535.1745805250255,146.2707909295497,Albi Le Sequestre airport,Paris-Orly Airport
Albi Ville,Paris Austerlitz,InterCity,43.92445,2.13817,48.84185,2.36646,2026-03-16 20:50:00,2026-03-16 08:32:00,,back_on_track,BackOnTrack,Albi Ville,Paris Austerlitz,547.0695210058518,4.342637857744452,,
Allmendingen,Donaueschingen Bahnhof,Train Longue Distance Nuit,48.3277261,9.7223495,47.947842,8.4989429,06:26:00,08:35:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Allmendingen,Donaueschingen Bahnhof,100.12758278176761,1.5896255042433427,,
Altona,Augsburg Hbf,Avion,53.5352783203125,9.835556030273438,48.425278,10.931667,,,,airports,OurAirports,Altona,Augsburg Hbf,573.3451432380182,140.9229155649756,Hamburg-Finkenwerder Airport,Augsburg Airport
Altona,Augsburg Hbf,EuroNight,53.5519791,9.9343519,48.3655187,10.8854791,07:57:00,13:52:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,Augsburg Hbf,580.5282387217205,33.281683925916234,,
Altona,Kufstein Bahnhof,Avion,53.5352783203125,9.835556030273438,47.564713,12.127576,,,,airports,OurAirports,Altona,Kufstein Bahnhof,683.2657810318223,182.2384626663083,Hamburg-Finkenwerder Airport,Kufstein-Langkampfen Airfield
Altona,Kufstein Bahnhof,EuroNight,53.5519791,9.9343519,47.5830959,12.1655874,07:57:00,15:26:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,Kufstein Bahnhof,682.0702359922998,39.10308662943855,,
Altona,München Hbf Gleis 10,Avion,53.5352783203125,9.835556030273438,48.239166,11.559334,,,,airports,OurAirports,Altona,München Hbf Gleis 10,601.138112845234,147.75416957567128,Hamburg-Finkenwerder Airport,Schleissheim Airfield
