origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km
"Aitrach (Kr Ravensb), Bahnhof",Memmingen,Train Longue Distance Nuit,47.9434916,10.0802113,47.9842199,10.186509,23:33:00,24:02:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Memmingen,9.11862023952393
"Aitrach (Kr Ravensb), Bahnhof",Mindelheim,Train Longue Distance Nuit,47.9435397,10.0801574,48.045069,10.5020333,05:20:00,05:56:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Mindelheim,33.36092144231373
"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,Train Longue Distance Nuit,47.9435397,10.0801574,48.14086,11.5576615,05:20:00,07:03:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",München Hbf Gleis 24,112.01018476370551
"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,Train Longue Distance Nuit,47.9435397,10.0801574,48.1496771,11.4616496,05:20:00,06:53:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Pasing Gleis 3,105.22087082562531
"Aitrach (Kr Ravensb), Bahnhof",Rammingen (Bay),Train Longue Distance Nuit,47.9435397,10.0801574,48.0524134,10.5899424,05:55:00,06:34:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Rammingen (Bay),39.81646831394465
"Aitrach (Kr Ravensb), Bahnhof",Sontheim (Schwab),Train Longue Distance Nuit,47.9435397,10.0801574,48.0120814,10.3457174,05:20:00,05:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Sontheim (Schwab),21.185581492274956
"Aitrach (Kr Ravensb), Bahnhof",Stetten (Schwab),Train Longue Distance Nuit,47.9435397,10.0801574,48.0280582,10.437642,05:20:00,05:51:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Stetten (Schwab),28.216625120173198
"Aitrach (Kr Ravensb), Bahnhof",Tannheim (Württ),Train Longue Distance Nuit,47.9435397,10.0801574,47.9948974,10.0967763,05:20:00,05:24:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Tannheim (Württ),5.843206170930311
"Aitrach (Kr Ravensb), Bahnhof",Tannheim Rehgarten,Train Longue Distance Nuit,47.9434916,10.0802113,48.0006802,10.0882153,23:33:00,23:42:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Tannheim Rehgarten,6.386937037108921
"Aitrach (Kr Ravensb), Bahnhof",Türkheim(Bay)Bahnhof,Train Longue Distance Nuit,47.9435397,10.0801574,48.0455134,10.6177722,05:20:00,06:04:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Türkheim(Bay)Bahnhof,41.58070808694083
"Aitrach (Kr Ravensb), Bahnhof",Wangen Bahnhof,Train Longue Distance Nuit,47.9435397,10.0801574,47.6891415,9.8304438,05:06:00,05:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof",Wangen Bahnhof,33.88006766363109
"Aitrach (Kr Ravensb), Bahnhof","Wangen, Busbahnhof",Train Longue Distance Nuit,47.9434916,10.0802113,47.6890508,9.8310456,22:39:00,23:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,"Aitrach (Kr Ravensb), Bahnhof","Wangen, Busbahnhof",33.86154144321905
Albbruck Bahnhof,Bad Säckingen Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5559371,7.9487877,15:42:00,15:53:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Bad Säckingen Bahnhof,14.293809576872285
Albbruck Bahnhof,Badischer Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5677212,7.6082453,15:42:00,16:13:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Badischer Bahnhof,39.34886300879065
Albbruck Bahnhof,Bahnhof Überlingen,Train Longue Distance Nuit,47.5922386,8.1317835,47.7689677,9.1630584,06:12:00,07:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Bahnhof Überlingen,79.66581479718913
Albbruck Bahnhof,Bermatingen-Ahausen Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.7305231,9.3448325,06:12:00,08:11:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Bermatingen-Ahausen Bahnhof,92.13754753037828
Albbruck Bahnhof,Beuggen Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5820113,7.8109502,21:39:00,22:05:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Beuggen Bahnhof,24.073590889463272
Albbruck Bahnhof,Bietingen Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.7440982,8.7386673,06:12:00,07:08:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Bietingen Bahnhof,48.479879746660174
