origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Gare de Lison,Gare de Bernay,Train Longue Distance,49.2268337,-1.0503391,49.0871158,0.5956878,19:56:00,21:08:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lison,Gare de Bernay,120.70099630863496,0.9581245086979443,,
Gare de Lison,Gare de Mantes-la-Jolie,Train Longue Distance,49.2268337,-1.0503391,48.9898402,1.70337,15:23:00,17:26:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lison,Gare de Mantes-la-Jolie,202.16016438035743,1.604747384851277,,
Gare de Lison,Gare de Paris Saint-Lazare,Train Longue Distance,49.2268337,-1.0503391,48.8762428,2.3253309,07:39:00,10:32:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lison,Gare de Paris Saint-Lazare,249.04948135965213,1.9769547830329186,,
Gare de Lison,Gare de Pontchaillou,EuroNight,49.2268337,-1.0503391,48.1186426,-1.6911174,09:40:00,12:28:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lison,Gare de Pontchaillou,131.90126948138428,1.0470322771432283,,
Gare de Lison,Gare de Rennes,EuroNight,49.2268337,-1.0503391,48.1035178,-1.6727439,09:40:00,12:33:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lison,Gare de Rennes,133.00659756913183,1.0558063715037687,,
Gare de Lison,Gare de Évreux Normandie,Train Longue Distance,49.2268337,-1.0503391,49.0187469,1.1496289,19:56:00,21:36:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lison,Gare de Évreux Normandie,161.75003532705017,1.2839717804261244,,
Gare de Longuerue - Vieux-Manoir,Gare de Albert,EuroNight,49.5566792,1.2762275,50.0053968,2.6444827,11:36:00,13:10:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Longuerue - Vieux-Manoir,Gare de Albert,110.18241632096364,0.8746280207558094,,
Gare de Longuerue - Vieux-Manoir,Gare de Arras,EuroNight,49.5566792,1.2762275,50.2868105,2.78016,11:36:00,13:30:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Longuerue - Vieux-Manoir,Gare de Arras,134.8425159019506,1.0703798912296838,,
Gare de Longuerue - Vieux-Manoir,Gare de Douai,EuroNight,49.5566792,1.2762275,50.3716757,3.0899613,11:36:00,13:45:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Longuerue - Vieux-Manoir,Gare de Douai,158.24307342811116,1.2561335168723462,,
Gare de Longuerue - Vieux-Manoir,Gare de Lille Flandres,EuroNight,49.5566792,1.2762275,50.6365763,3.0698721,11:36:00,14:07:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Longuerue - Vieux-Manoir,Gare de Lille Flandres,175.45624206127624,1.3927716494824107,,
Gare de Lorient,Gare de Brest,Train Longue Distance,47.7555982,-3.3662209,48.3876203,-4.4803058,19:38:00,21:23:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lorient,Gare de Brest,108.58434775118924,0.8619425524489402,,
Gare de Lorient,Gare de Nantes,Train Longue Distance Nuit,47.7555982,-3.3662209,47.2174913,-1.542077,06:12:00,08:16:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lorient,Gare de Nantes,149.55456388135477,1.1871641280901943,,
Gare de Lorient,Gare de Pontchâteau,Train Longue Distance Nuit,47.7555982,-3.3662209,47.4353376,-2.0885275,06:12:00,07:42:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lorient,Gare de Pontchâteau,102.2111327177882,0.8113519715138027,,
Gare de Lorient,Gare de Rennes,EuroNight,47.7555982,-3.3662209,48.1035178,-1.6727439,11:16:00,12:56:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lorient,Gare de Rennes,131.96782986128065,1.0475606334388459,,
Gare de Lorient,Gare de Savenay,Train Longue Distance Nuit,47.7555982,-3.3662209,47.3586008,-1.951011,06:12:00,07:52:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Lorient,Gare de Savenay,115.00521442622636,0.9129113921153849,,
Gare de Maintenon,Gare de Champagné,Train Longue Distance,48.5854799,1.5920603,48.0197494,0.3356649,17:02:00,19:10:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Maintenon,Gare de Champagné,112.21797162862349,0.8907862587880132,,
