origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Altona,Ostbahnhof Gleis 8,EuroNight,35.22689144369295,147.75416957567128,112.52727813197833,0,614.4582494975222,53.5519791,9.9343519,48.1273047,11.6055327,Altona,Ostbahnhof Gleis 8,,250192.0,,
Altona,Pasing Gleis 9,EuroNight,34.97824054933434,147.58071884118212,112.60247829184777,0,610.121063131595,53.5519791,9.9343519,48.1500966,11.461955,Altona,Pasing Gleis 9,,250192.0,,35728.0
Altona,Rosenheim,EuroNight,37.39995157407863,177.0967895165617,139.69683794248306,0,652.3626648190935,53.5519791,9.9343519,47.8499013,12.1191804,Altona,Rosenheim,,250192.0,,60167.0
Altstädten (Allgäu),Neu-Ulm,Train Longue Distance,0.0905932510307375,,,0,102.71343654278625,47.4883577,10.280886,48.3935198,10.0058308,Altstädten (Allgäu),Neu-Ulm,,,28711.0,51389.0
Altstädten (Allgäu),Ulm Hbf,Train Longue Distance Nuit,0.09146870518909607,,,0,103.70601495362367,47.4883577,10.280886,48.3993531,9.9825824,Altstädten (Allgäu),Ulm Hbf,,,,120451.0
Amsterdam Centraal,Innsbruck Hbf,Nightjet,36.95080284880041,183.30433797467967,146.35353512587926,0,734.988320977054,52.37921,4.90029,47.26337,11.40111,Amsterdam Centraal,Innsbruck Hbf,,741636.0,,132493.0
Amsterdam Centraal,Milano Centrale,InterCity,41.62607305114689,222.89528511551345,181.26921206436657,0,827.9841081104923,52.37921,4.90029,45.48727,9.20511,Amsterdam Centraal,Milano Centrale,,741636.0,,
Amsterdam Centraal,Wien Hbf,Nightjet,47.15037481931036,240.8216810086296,193.67130618931924,0,937.867979856593,52.37921,4.90029,48.1851,16.37711,Amsterdam Centraal,Wien Hbf,,741636.0,,
Amsterdam Centraal,Zürich HB,Nightjet,30.869305746002446,150.58851960661812,119.71921386061567,0,614.0212783148834,52.37921,4.90029,47.37818,8.54021,Amsterdam Centraal,Zürich HB,,741636.0,,415367.0
Ankara,Kars,InterCity,57.773606511015046,221.54920629337312,163.77559978235809,0,873.3727363721096,39.93498,32.84395,40.60528,43.10639,Ankara,Kars,,3517182.0,,91450.0
Ankara,Kurtalan,InterCity,52.73768399810979,222.0562932707762,169.3186092726664,0,797.2439001981827,39.93498,32.84395,37.92809,41.69722,Ankara,Kurtalan,,3517182.0,11803.0,32114.0
Ankara,Malatya,InterCity,33.27893437084951,138.5159111317286,105.23697676087907,1,503.08290810052176,39.93498,32.84395,38.3768,38.32295,Ankara,Malatya,,3517182.0,,750491.0
Ankara,Tatvan,InterCity,54.734556760576496,228.6188283894652,173.8842716288887,0,827.4309412029705,39.93498,32.84395,38.50882,42.2762,Ankara,Tatvan,,3517182.0,,73222.0
Ankara,İstanbul Halkalı,InterCity,24.16478056169048,112.26928669065079,88.10450612896031,1,365.302805165389,39.93498,32.84395,41.01849,28.76616,Ankara,İstanbul Halkalı,,3517182.0,,15701602.0
