origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Dreux,Gare de Flers,EuroNight,Gare de Dreux,Gare de Flers,48.731493,1.3701634,48.7447856,-0.5732157,142.51803835741958,1.1313081884811966,09:42:00,11:13:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Folligny,Avion,Gare de Dreux,Gare de Folligny,48.70543,1.361155,48.883099,-1.56417,215.17909202208585,86.7220231911997,,,airports,OurAirports
Gare de Dreux,Gare de Folligny,EuroNight,Gare de Dreux,Gare de Folligny,48.731493,1.3701634,48.8299473,-1.407223,203.78496345244147,1.6176450398854807,09:42:00,11:54:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Granville,Avion,Gare de Dreux,Gare de Granville,48.70543,1.361155,48.883099,-1.56417,215.17909202208585,86.7220231911997,,,airports,OurAirports
Gare de Dreux,Gare de Granville,EuroNight,Gare de Dreux,Gare de Granville,48.731493,1.3701634,48.8383212,-1.5875472,217.00814413443925,1.7226106481391787,09:42:00,12:04:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Villedieu-les-Poêles,Avion,Gare de Dreux,Gare de Villedieu-les-Poêles,48.70543,1.361155,48.662255,-1.403685,203.01915426796774,81.8212942495238,,,airports,OurAirports
Gare de Dreux,Gare de Villedieu-les-Poêles,EuroNight,Gare de Dreux,Gare de Villedieu-les-Poêles,48.731493,1.3701634,48.8341501,-1.2254182,190.50605891623974,1.512237095677111,09:42:00,11:44:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Dreux,Gare de Vire,Avion,Gare de Dreux,Gare de Vire,48.70543,1.361155,48.749964,-0.593927,143.4837568519848,92.04988226550782,,,airports,OurAirports
Gare de Dreux,Gare de Vire,EuroNight,Gare de Dreux,Gare de Vire,48.731493,1.3701634,48.8463297,-0.8828841,165.5433313286869,1.3140829640871166,09:42:00,11:29:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Flers,Gare de Dreux,Avion,Gare de Flers,Gare de Dreux,48.749964,-0.593927,48.70543,1.361155,143.4837568519848,92.04988226550782,,,airports,OurAirports
Gare de Flers,Gare de Dreux,EuroNight,Gare de Flers,Gare de Dreux,48.7447856,-0.5732157,48.731493,1.3701634,142.51803835741958,1.1313081884811966,05:29:00,07:18:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Flers,Gare de Nonancourt,Avion,Gare de Flers,Gare de Nonancourt,48.749964,-0.593927,48.897669,1.250839,136.04345065847562,87.27666385975924,,,airports,OurAirports
Gare de Flers,Gare de Nonancourt,EuroNight,Gare de Flers,Gare de Nonancourt,48.7447856,-0.5732157,48.7757617,1.1928376,129.49623816659425,1.0279411385664252,05:29:00,07:07:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Flers,Gare de Paris Montparnasse Hall 1 - 2,Avion,Gare de Flers,Gare de Paris Montparnasse Hall 1 - 2,48.749964,-0.593927,48.774406,2.203102,205.0234859119462,82.62908507008417,,,airports,OurAirports
