id,ident,category,airport_name,aero_lat,aero_long,elevation_ft,continent,country_code,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
323768,LPHC,heliport,Cascais Hospital Heliport,38.728828,-9.418976,370.0,EU,PT,PT-11,Cascais,no,,,LPHC,,,,
4450,LPHR,medium_airport,Horta Airport,38.519901275634766,-28.715900421142578,118.0,EU,PT,PT-20,Horta,yes,LPHR,HOR,LPHR,,,https://en.wikipedia.org/wiki/Horta_Airport,
29858,LPIN,small_airport,Espinho Airfield,40.974201,-8.64444,10.0,EU,PT,PT-01,,no,,,LPIN,,,https://en.wikipedia.org/wiki/Espinho_Airfield,
317089,LPJB,heliport,Algés Heliport,38.695741,-9.235799,30.0,EU,PT,PT-11,Algés,no,,,LPJB,,,,
30066,LPJF,small_airport,Aerodromo de Leiria,39.779907,-8.820238,151.0,EU,PT,PT-10,Leiria,no,LPJF,,LPJF,,https://www.aeroclubeleiria.pt/,,QLR
4451,LPLA,medium_airport,Lajes Airport,38.761799,-27.090799,180.0,EU,PT,PT-20,Praia da Vitória,yes,LPLA,TER,LPLA,,http://aerogarelajes.azores.gov.pt,https://en.wikipedia.org/wiki/Lajes_Field,Terceira Island
30086,LPLZ,small_airport,Aerodromo da Lousã,40.143042,-8.240987,654.0,EU,PT,PT-06,Lousã,no,,,LPLZ,,,,
4452,LPMA,large_airport,Cristiano Ronaldo International Airport,32.697812,-16.774613,192.0,EU,PT,PT-30,Funchal,yes,LPMA,FNC,LPMA,,http://www.aeroportomadeira.pt,https://en.wikipedia.org/wiki/Madeira_Airport,"Madeira, Funchal"
326806,LPMB,heliport,Miguel Barros Heliport,37.149722,-7.953889,750.0,EU,PT,PT-08,Morgado da Apra - Loulé,no,,,LPMB,,https://www.htahelicopteros.com/heliport,,HTA Helicópteros
321235,LPMC,heliport,Macedo de Cavaleiros,41.52532,-6.966368,1781.0,EU,PT,PT-04,Macedo de Cavaleiros,no,,,LPMC,,,,
321234,LPMD,heliport,Mirandela Hospital Heliport,41.484771,-7.190643,732.0,EU,PT,PT-05,Mirandela,no,,,LPMD,,,,
29488,LPMF,small_airport,Aerodromo de Monfortinho,39.976398,-6.906624,,EU,PT,PT-05,Idanha-a-Nova,no,,,LPMF,,,https://en.wikipedia.org/wiki/Monfortinho_Airport,
29489,LPMI,small_airport,Mirandela Airfield,41.468006,-7.226257,1329.0,EU,PT,PT-04,Mirandela,no,,,LPMI,,,https://en.wikipedia.org/wiki/Mirandela_Airport,
30160,LPMO,small_airport,Morargil Airfield,38.993532,-8.14201,380.0,EU,PT,PT-07,Mora,no,LPMO,,LPMO,,,https://en.wikipedia.org/wiki/Morargil_Airport,
321232,LPMP,heliport,Mafra Heliport,38.943058,-9.353825,537.0,EU,PT,PT-11,Mafra,no,,,LPMP,,,,
4453,LPMR,medium_airport,Monte Real Air Base,39.828335,-8.8875,187.0,EU,PT,PT-10,,no,LPMR,,LPMR,,,https://en.wikipedia.org/wiki/Monte_Real_Air_Base,QLR
4454,LPMT,medium_airport,Montijo Air Base,38.70929,-9.03368,46.0,EU,PT,PT-15,Montijo,no,,,LPMT,,,https://en.wikipedia.org/wiki/Montijo_Air_Base,Lisbon Montijo Airport
30147,LPMU,small_airport,Mogadouro Airfield,41.3963,-6.68348,2344.0,EU,PT,PT-04,Mogadouro,no,,,LPMU,,http://www.vooavela.mogadouro.pt/,,
326694,LPMZ,heliport,Porto Moniz Helipad,32.866783,-17.165167,50.0,EU,PT,PT-30,Porto Moniz,no,,,LPMZ,,,,
326695,LPNV,heliport,Torres Novas Hospital Heliport,39.469379,-8.537203,242.0,EU,PT,PT-14,Torres Novas,no,,,LPNV,,,,
4455,LPOV,medium_airport,Ovar Air Base,40.915901,-8.64592,56.0,EU,PT,PT-01,Ovar,no,,,LPOV,,,https://de.wikipedia.org/wiki/Milit%C3%A4rflugplatz_Ovar,
326800,LPPA,heliport,Padre Américo Hospital Helipad,41.195833,-8.31,724.0,EU,PT,PT-13,Penafiel,no,,,LPPA,,,,
326799,LPPB,heliport,Baltar Heliport,41.19,-8.385557,961.0,EU,PT,PT-13,Paredes,no,,,LPPB,,,,
