stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,tts_stop_name,import_id,ext_id,city_name,direction_id,area_name,ext_aleop_abri,ext_aleop_poteau,ext_bench,ext_bikepark,ext_carcharging,ext_carpark,ext_carpooling,ext_conventionnement,ext_diag_date,ext_gare_conventionnee,ext_gestionnaire,ext_id_py7,ext_id_tad,ext_non_aleop_abri,ext_non_aleop_poteau,ext_photo_url_1,ext_photo_url_2,ext_photo_url_3,ext_photo_url_4,ext_priority,ext_pwd_nooverhang,ext_pwd_pathway,ext_pwd_readability,ext_pwd_slopes,ext_pwd_sound,ext_pwd_tactilpaving,ext_pwd_visualway,ext_pwd_wheelchair_z,ext_quay_height,ext_quay_length,ext_region_insee,ext_region_name,ext_schedule,ext_sec_A13A,ext_sec_C6,ext_sec_bikepark,ext_sec_config,ext_sec_intown,ext_sec_light,ext_sec_pedxing,ext_sec_zebra,ext_sec_zebra_damaged,ext_secure_iti,ext_stop_schedule,ext_trashbin,ext_type_tad,ext_zone_tad,old_id,pegase_code
53FOREbourU,,Eglise,,47.91689000,-0.55714200,ZONE_N/A,,0,53FOREbour,1,,,,,Saint-Charles-la-Forêt,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_18_5_MESLAY_GREZ,TAD53-468,
53FROMburgU,,Eglise,,47.86510000,-0.66578800,ZONE_N/A,,0,53FROMburg,1,,,,,Fromentières,,,,,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_6_GONTIER,TAD53-223,
53GEORcentU,,Eglise,,48.16897800,-0.29823900,ZONE_N/A,,0,53GEORcent,1,,,,,Saint-Georges-sur-Erve,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_17_4_COEVRONS,TAD53-507,
53GESNcentU,,Eglise,,48.14673200,-0.58503200,ZONE_N/A,,0,53GESNcent,1,,,,,Gesnes,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_17_4_COEVRONS,TAD53-228,
53GORRegliU,,Eglise,,48.41331000,-0.81362000,ZONE_N/A,,0,53GORRegli,1,,,,,Gorron,,,,,,,,,,,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_1_BOC_MAY_ERN,,
53GRAZglisR,,Eglise,,48.29037252,-0.48209006,ZONE_N/A,,0,53GRAZglis,2,,,,,Grazay,1,,,,,,,,,,2023-08-02 08:23:18.716942,,,,,,,https://res.cloudinary.com/diver-cities/image/upload/v1/pdll/3b06dd347f6c4f569a50dfb9d7b0d501eadb88cf.jpg,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,53031885A
53HAM1egliU,,Eglise,,48.37940000,-0.37887800,ZONE_N/A,,0,53HAM1egli,1,,,,,Le Ham,,,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_3_AVALOIRS,TAD53-318,
53HOUScentU,,Eglise,,47.91460800,-0.73633900,ZONE_N/A,,0,53HOUScent,1,,,,,Houssay,,,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_6_GONTIER,TAD53-257,
53IZE1egliU,,Eglise,,48.23073500,-0.30832500,ZONE_N/A,,0,53IZE1egli,1,,,,,Izé,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_17_4_COEVRONS,TAD53-259,
53LASSegliU,,Eglise,,48.43630000,-0.49444800,ZONE_N/A,,0,53LASSegli,1,,,,,Lassay-les-Châteaux,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_2_MAY_HORPS_LASS,TAD53-312,
53LEGEegliU,,Eglise,,48.08257000,-0.45551200,ZONE_N/A,,0,53LEGEegli,1,,,,,Saint-Léger,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_17_4_COEVRONS,TAD53-517,
53LEPAegliU,,Eglise,,48.42873000,-0.69905000,ZONE_N/A,,0,53LEPAegli,1,,,,,Le Pas,,,,,,,,,,,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_1_BOC_MAY_ERN,,
53LESBcolmU,,Eglise,,48.44094100,-0.80420400,ZONE_N/A,,0,53LESBcolm,1,,,,,Lesbois,,,,,,,,,,,,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_1_BOC_MAY_ERN,TAD53-324,
53LEVAbourU,,Eglise,,48.41790000,-0.91332500,ZONE_N/A,,0,53LEVAbour,1,,,,,Levaré,,,,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_1_BOC_MAY_ERN,TAD53-325,
53LIGNegliU,,Eglise,,48.54237700,-0.20728400,ZONE_N/A,,0,53LIGNegli,1,,,,,Lignières-Orgères,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_3_AVALOIRS,TAD53-326,
53LOIGbourU,,Eglise,,47.90088200,-0.71598100,ZONE_N/A,,0,53LOIGbour,1,,,,,La Roche-Neuville,,saint Sulpice,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_18_6_GONTIER,TAD53-329,
53MADRbourU,,Eglise,,48.47720000,-0.37960800,ZONE_N/A,,0,53MADRbour,1,,,,,Madré,,,,,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_3_AVALOIRS,TAD53-332,
53MARSbourU,,Eglise,,48.29377900,-0.15885600,ZONE_N/A,,0,53MARSbour,1,,,,,Saint-Mars-du-Désert,,,,,,,,,,,,,,,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_3_AVALOIRS,TAD53-520,
53MEE1bourU,,Eglise,,47.79713200,-0.86067200,ZONE_N/A,,0,53MEE1bour,1,,,,,Mée,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_8_CRAON,TAD53-379,
53MICHegliU,,Eglise,,47.87937900,-1.12781600,ZONE_N/A,,0,53MICHegli,1,,,,,Saint-Michel-de-la-Roë,,,,,,,,,,,,,,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_18_8_CRAON,TAD53-527,
53MNTOpierU,,Eglise,,48.20300000,-0.55044800,ZONE_N/A,,0,53MNTOpier,1,,,,,Montsûrs,,Montourtier,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-400,
53MONTegliU,,Eglise,,48.13430000,-0.55268600,ZONE_N/A,,0,53MONTegli,1,,,,,Montsûrs,,Montsûrs,,,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-404,
53NEAUegliU,,Eglise,,48.15540000,-0.47499700,ZONE_N/A,,0,53NEAUegli,1,,,,,Neau,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_17_4_COEVRONS,TAD53-411,
53NEUIegliU,,Eglise,,48.49507200,-0.33978000,ZONE_N/A,,0,53NEUIegli,1,,,,,Neuilly-le-Vendin,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_3_AVALOIRS,TAD53-412,
53OISSegliU,,Eglise,,48.35809000,-0.67013000,ZONE_N/A,,0,53OISSegli,1,,,,,Oisseau,,,,,,,,,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_1_BOC_MAY_ERN,,
53ORTHcentU,,Eglise,,48.21069200,-0.20595000,ZONE_N/A,,0,53ORTHcent,1,,,,,Vimartin-sur-Orthe,,Saint-Pierre-sur-Orthe,,,,,,,,,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-535,
53PALLcoupU,,Eglise,,48.50674600,-0.29880000,ZONE_N/A,,0,53PALLcoup,1,,,,,La Pallu,,,,,,,,,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_3_AVALOIRS,TAD53-296,
53PIEDegliU,,Eglise,,47.90485500,-0.43287600,ZONE_N/A,,0,53PIEDegli,1,,,,,Beaumont-Pied-de-Bœuf,,,,,,,,,,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_5_MESLAY_GREZ,TAD53-59,
53PREAegliU,,Eglise,,47.93635300,-0.46600600,ZONE_N/A,,0,53PREAegli,1,,,,,Préaux,,,,,,,,,,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_5_MESLAY_GREZ,TAD53-429,
53ROE1bourU,,Eglise,,47.89590000,-1.11126000,ZONE_N/A,,0,53ROE1bour,1,,,,,La Roë,,,,,,,,,,,,,,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_8_CRAON,TAD53-298,
53ROUAbourU,,Eglise,,47.82961700,-1.19082000,ZONE_N/A,,0,53ROUAbour,1,,,,,La Rouaudière,,,,,,,,,,,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_8_CRAON,TAD53-299,
53SACEroc1U,,Eglise,,48.18532200,-0.71326500,ZONE_N/A,,0,53SACEroc1,1,,,,,Sacé,,,,,,,,,,,2023-08-01 09:46:44.373993,,,,561,,,https://res.cloudinary.com/diver-cities/image/upload/v1/pdll/8491d55c8b16c50fa7b9456e28214e0a5af2654a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_16_2_MAY_HORPS_LASS,TAD53-449,
53SENOegliU,,Eglise,,47.79780300,-1.20372800,ZONE_N/A,,0,53SENOegli,1,,,,,Senonnes,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_18_8_CRAON,18776812,
53TANNegliU,,Eglise,,48.40095000,-0.94691000,ZONE_N/A,,0,53TANNegli,1,,,,,Saint-Berthevin-la-Tannière,,,,,,,,,,,,,,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_1_BOC_MAY_ERN,,
53TERRegliU,,Eglise,,48.47920000,-0.40925000,ZONE_N/A,,0,53TERRegli,1,,,,,Saint-Julien-du-Terroux,,,,,,,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD,53_16_2_MAY_HORPS_LASS,TAD53-515,
53THOMbourU,,Eglise,,48.27502600,-0.26604400,ZONE_N/A,,0,53THOMbour,1,,,,,Saint-Thomas-de-Courceriers,,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-541,
53TORCcentU,,Eglise,,48.09830000,-0.26171900,ZONE_N/A,,0,53TORCcent,1,,,,,Torcé-Viviers-en-Charnie,,,,,,,,,,,,,,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-558,
53VALLcentU,,Eglise,,48.16780000,-0.54885500,ZONE_N/A,,0,53VALLcent,1,,,,,Montsûrs,,Saint-ouen-des-Vallons,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAD_CENTRALITE,53_17_4_COEVRONS,TAD53-528,
