origin,destination,distance_km,co2_saved_kg,is_substitutable,cluster_kmeans,cluster_dbscan
Chelm,Świnoujście,695.1090393829659,108.391696439993,0,1,-1
Chişinău,București Nord,357.95964565572797,92.9367087286752,1,0,0
Chop,Praha hl.n.,592.6851238033265,126.64699907909451,1,1,0
Cluj-Napoca,București Nord,323.9890934914132,84.47030165309607,1,0,0
Cluj-Napoca,Iași,307.55640211776995,106.23772072852088,1,0,0
Constanța,Oradea,612.2290490739184,121.55284151541488,0,1,0
Constanța,Suceava Nord,431.7553521686727,74.14209377364946,1,0,0
Donaueschingen Bahnhof,Blaubeuren,108.45642000521116,62.30877295800666,1,0,0
Donaueschingen Bahnhof,Blaustein Gleis 2,117.41964956453032,64.62660205899434,1,0,0
Donaueschingen Bahnhof,Gerhausen,109.15787487983287,62.268558550044595,1,0,0
Donaueschingen Bahnhof,Herrlingen,116.10056117368684,61.87053434481795,1,0,0
Donaueschingen Bahnhof,Schelklingen,103.0268002437126,61.054685981664946,1,0,0
Donaueschingen Bahnhof,Schmiechen,101.66597883186908,61.13270187320594,1,0,0
Donaueschingen Bahnhof,Ulm Hbf,120.90965713213524,64.42651992514355,1,0,0
Donauwörth,Heimenkirch,136.80127192426366,80.89601826244927,1,0,0
Donauwörth,Hergatz,137.79727384873746,93.75129458292156,1,0,0
Donauwörth,Immenstadt,134.91918085097353,85.90497450132621,1,0,0
Donauwörth,Kempten (Allgäu) Hbf,116.40580801121766,75.92519586275753,1,0,0
Donauwörth,Lindau-Reutin,151.63993166569168,93.53152854741958,1,0,0
Donauwörth,Oberstaufen,140.37309676558797,80.83931197126842,1,0,0
Donauwörth,Röthenbach (Allgäu),135.8779525953176,80.91067688011562,1,0,0
Duved,Malmö C,865.1546994025,235.3905913371986,0,1,-1
Duved,Stockholm C,527.6870120417353,137.00283926338582,1,1,0
Düsseldorf Hbf,Innsbruck Hbf,552.5777240085893,122.96590815470584,1,1,0
Düsseldorf Hbf,Villach Hbf,725.8230618512234,144.8795228504848,0,1,0
Edinburgh Waverley,London Euston,531.3807187308821,120.31259625801604,1,1,0
Edirne,Villach Hbf,1154.2618380191282,99.08886599079288,0,1,-1
Enzisweiler,Esslingen (N) Gleis 3,133.36410621718568,85.01191166182856,1,0,0
Enzisweiler,Geislingen (Steige) Gleis 2,118.04560621159716,76.94739229140202,1,0,0
Enzisweiler,Göppingen Gleis 4,126.31081103480663,75.59321431405864,1,0,0
Enzisweiler,Plochingen Gleis 1,129.1285924113172,85.01564738500534,1,0,0
Enzisweiler,Stuttgart Hauptbahnhof (oben) Gleis 11,140.3460764464158,93.32537709355807,1,0,0
Enzisweiler,Stuttgart Hauptbahnhof (oben) Gleis 13,140.3460764464158,93.32537709355807,1,0,0
Eriskirch Bahnhof,Esslingen (N) Gleis 3,124.56873208110314,78.1680783191445,1,0,0
Eriskirch Bahnhof,Geislingen (Steige) Gleis 2,112.61477023983744,73.4672528395554,1,0,0
Eriskirch Bahnhof,Geislingen (Steige) Gleis 3,112.62134663918356,73.46724703917118,1,0,0
Eriskirch Bahnhof,Göppingen Gleis 4,119.51360273503931,70.5286727839467,1,0,0
Eriskirch Bahnhof,Plochingen Gleis 1,120.89560308537772,78.17131801891874,1,0,0
Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 11,131.05726323264034,86.06057691470568,1,0,0
