trip_id,agency_name,route_name,train_type,service_type,origin_stop_name,origin_country,destination_stop_name,destination_country,departure_time,arrival_time,distance_km,duration_h,emission_gco2e_pkm,total_emission_kgco2e,source_dataset
CS 1004 (G),Caledonian Sleeper Ltd.,Lowlander,Train régional,National,Glasgow Central,GB,London Euston,GB,23:40,07:15,645.0,7:35:00,22.64,14.6,Back-on-Track
ES 452,European Sleeper Cooperatïe,452 = 453,Train régional,International,Praha hl.n.,CZ,Rotterdam Centraal,BE,18:04,09:27,852.0,15:23:00,19.01,16.2,Back-on-Track
ES 453,European Sleeper Cooperatïe,452 = 453,Train régional,International,Rotterdam Centraal,CZ,Praha hl.n.,BE,19:22,10:45,852.0,15:23:00,19.01,16.2,Back-on-Track
FS IC Notte 1515,Trenitalia S.p.A,IC Notte 796 = IC Notte 1515,Train régional,National,Torino Lingotto,IT,Salerno,IT,20:23,09:11,962.0,12:48:00,18.61,17.9,Back-on-Track
FS IC Notte 1954,Trenitalia S.p.A,IC Notte 1954 = IC Notte 1955 (P),Train régional,National,Palermo Centrale,IT,Roma Termini,IT,18:48,07:18,867.0,12:30:00,20.42,17.7,Back-on-Track
FS IC Notte 1955 (P),Trenitalia S.p.A,IC Notte 1954 = IC Notte 1955 (P),Train régional,National,Roma Termini,IT,Palermo Centrale,IT,20:31,09:24,867.0,12:53:00,20.42,17.7,Back-on-Track
FS IC Notte 1955 (S),Trenitalia S.p.A,IC Notte 1955 (S) = IC Notte 1956,Train régional,National,Roma Termini,IT,Siracusa,IT,20:31,09:01,820.0,12:30:00,20.12,16.5,Back-on-Track
FS IC Notte 1956,Trenitalia S.p.A,IC Notte 1955 (S) = IC Notte 1956,Train régional,National,Siracusa,IT,Roma Termini,IT,19:10,07:18,820.0,12:08:00,20.12,16.5,Back-on-Track
FS IC Notte 1958,Trenitalia S.p.A,IC Notte 1958 = IC Notte 1959 (P),Train régional,National,Palermo Centrale,IT,Roma Termini,IT,21:10,09:51,867.0,12:41:00,20.42,17.7,Back-on-Track
FS IC Notte 1959 (P),Trenitalia S.p.A,IC Notte 1958 = IC Notte 1959 (P),Train régional,National,Roma Termini,IT,Palermo Centrale,IT,23:00,11:57,867.0,12:57:00,20.42,17.7,Back-on-Track
FS IC Notte 1959 (S),Trenitalia S.p.A,IC Notte 1959 (S) = IC Notte 1960,Train régional,National,Roma Termini,IT,Siracusa,IT,23:00,11:29,820.0,12:29:00,20.12,16.5,Back-on-Track
FS IC Notte 1960,Trenitalia S.p.A,IC Notte 1959 (S) = IC Notte 1960,Train régional,National,Siracusa,IT,Roma Termini,IT,21:45,09:51,820.0,12:06:00,20.12,16.5,Back-on-Track
FS IC Notte 1962,Trenitalia S.p.A,IC Notte 1962 = IC Notte 1963,Train régional,National,Siracusa,IT,Milano Centrale,IT,13:35,10:10,1380.0,20:35:00,21.23,29.3,Back-on-Track
FS IC Notte 1963,Trenitalia S.p.A,IC Notte 1962 = IC Notte 1963,Train régional,National,Milano Centrale,IT,Siracusa,IT,20:10,15:48,1380.0,19:38:00,21.23,29.3,Back-on-Track
FS IC Notte 1964,Trenitalia S.p.A,IC Notte 1964 = IC Notte 1967,Train régional,National,Palermo Centrale,IT,Milano Centrale,IT,12:58,10:10,1427.0,21:12:00,21.37,30.49,Back-on-Track
FS IC Notte 1967,Trenitalia S.p.A,IC Notte 1964 = IC Notte 1967,Train régional,National,Milano Centrale,IT,Palermo Centrale,IT,20:10,16:55,1427.0,20:45:00,21.37,30.49,Back-on-Track
FS IC Notte 752,Trenitalia S.p.A,IC Notte 752 = IC Notte 755,Train régional,National,Lecce,IT,Milano Centrale,IT,19:50,07:12,1032.0,11:22:00,20.16,20.81,Back-on-Track
FS IC Notte 754,Trenitalia S.p.A,IC Notte 754 = IC Notte 757,Train régional,National,Lecce,IT,Torino Lingotto,IT,20:25,09:15,1147.0,12:50:00,20.05,23.0,Back-on-Track
FS IC Notte 755,Trenitalia S.p.A,IC Notte 752 = IC Notte 755,Train régional,National,Milano Centrale,IT,Lecce,IT,21:50,09:30,1032.0,11:40:00,20.16,20.81,Back-on-Track
FS IC Notte 757,Trenitalia S.p.A,IC Notte 754 = IC Notte 757,Train régional,National,Torino Lingotto,IT,Lecce,IT,20:58,10:10,1147.0,13:12:00,20.05,23.0,Back-on-Track
FS IC Notte 758,Trenitalia S.p.A,IC Notte 758 = IC Notte 765,Train régional,National,Lecce,IT,Milano Centrale,IT,18:31,07:05,1092.0,12:34:00,20.24,22.1,Back-on-Track
FS IC Notte 763,Trenitalia S.p.A,IC Notte 763 = IC Notte 764,Train régional,National,Bolzano / Bozen,IT,Roma Termini,IT,21:30,06:06,631.0,8:36:00,19.81,12.5,Back-on-Track
FS IC Notte 764,Trenitalia S.p.A,IC Notte 763 = IC Notte 764,Train régional,National,Roma Termini,IT,Bolzano / Bozen,IT,22:05,06:28,631.0,8:23:00,19.81,12.5,Back-on-Track
FS IC Notte 765,Trenitalia S.p.A,IC Notte 758 = IC Notte 765,Train régional,National,Milano Centrale,IT,Bari Centrale,IT,21:15,07:00,1092.0,9:45:00,20.24,22.1,Back-on-Track
FS IC Notte 770,Trenitalia S.p.A,IC Notte 770 = IC Notte 774,Train régional,National,Trieste Centrale,IT,Roma Termini,IT,19:11,06:35,711.0,11:24:00,21.52,15.3,Back-on-Track
FS IC Notte 774,Trenitalia S.p.A,IC Notte 770 = IC Notte 774,Train régional,National,Roma Termini,IT,Trieste Centrale,IT,22:35,09:55,711.0,11:20:00,21.52,15.3,Back-on-Track
FS IC Notte 788,Trenitalia S.p.A,IC Notte 788 = IC Notte 789,Train régional,National,Lecce,IT,Roma Termini,IT,22:15,06:10,647.0,7:55:00,19.63,12.7,Back-on-Track
FS IC Notte 789,Trenitalia S.p.A,IC Notte 788 = IC Notte 789,Train régional,National,Roma Termini,IT,Lecce,IT,23:58,08:10,647.0,8:12:00,19.63,12.7,Back-on-Track
FS IC Notte 794,Trenitalia S.p.A,IC Notte 794 = IC Notte 795,Train régional,National,Reggio Calabria Centrale,IT,Torino Lingotto,IT,21:43,14:32,1358.0,16:49:00,18.92,25.69,Back-on-Track
FS IC Notte 795,Trenitalia S.p.A,IC Notte 794 = IC Notte 795,Train régional,National,Torino Lingotto,IT,Reggio Calabria Centrale,IT,15:29,08:45,1358.0,17:16:00,18.92,25.69,Back-on-Track
FS IC Notte 796,Trenitalia S.p.A,IC Notte 796 = IC Notte 1515,Train régional,National,Salerno,IT,Torino Lingotto,IT,20:52,10:32,962.0,13:40:00,18.61,17.9,Back-on-Track
FS IC Notte 797,Trenitalia S.p.A,IC Notte 797 = IC Notte 798,Train régional,National,Torino Porta Susa,IT,Salerno,IT,20:40,09:46,1009.0,13:06:00,20.12,20.3,Back-on-Track
FS IC Notte 798,Trenitalia S.p.A,IC Notte 797 = IC Notte 798,Train régional,National,Salerno,IT,Torino Porta Susa,IT,20:38,09:05,1009.0,12:27:00,20.12,20.3,Back-on-Track
FS TT 96100,Opérateur non renseigné,Non renseigné,Train de nuit,National,Roma Termini,XX,Calalzo-Pieve Di Cadore (Cortina),XX,21:40,08:50,,11.17,14.0,,Back-on-Track
FS TT 96101,Opérateur non renseigné,Non renseigné,Train de nuit,National,Calalzo-Pieve Di Cadore (Cortina),XX,Roma Termini,XX,21:00,06:40,,9.67,14.0,,Back-on-Track
GA F5 725,Go-Ahead Norge AS,F5,Train régional,National,Oslo S,NO,Stavanger,NO,22:25,07:20,588.0,8:55:00,0.31,0.18,Back-on-Track
GA F5 726,Go-Ahead Norge AS,F5,Train régional,National,Stavanger,NO,Oslo S,NO,22:15,07:26,588.0,9:11:00,0.31,0.18,Back-on-Track
GWR Sleeper (London),First Greater Western Ltd.,Night Riviera,Train régional,National,Penzance,GB,London Paddington,GB,21:45,05:08,489.0,7:23:00,20.45,10.0,Back-on-Track
GWR Sleeper (Penzance),First Greater Western Ltd.,Night Riviera,Train régional,National,London Paddington,GB,Penzance,GB,23:45,07:54,489.0,8:09:00,20.45,10.0,Back-on-Track
HŽPP 1820,HŽ Putnički prijevoz d.o.o.,1820 = 1821,Train régional,National,Split,HR,Zagreb Gl. K.,HR,21:11,05:49,424.0,8:38:00,27.36,11.6,Back-on-Track
HŽPP 1821,HŽ Putnički prijevoz d.o.o.,1820 = 1821,Train régional,National,Zagreb Gl. K.,HR,Split,HR,22:30,07:01,424.0,8:31:00,27.36,11.6,Back-on-Track
