stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
de:08337:4010:0:2,,Rheinheim Hardtweg,47.5855681,8.3097757,,,,0,
de:08337:4011:0:2,,Waldshut Gymnasium,47.6248461,8.2130181,,,,0,
de:08337:4012:0:1,,Waldshut Chilbiplatz,47.6262931,8.2149495,,0,de:08337:4012_Parent,0,
de:08337:4012:0:2,,Waldshut Chilbiplatz,47.6266261,8.2151651,,0,de:08337:4012_Parent,0,
de:08337:4012:0:3,,Waldshut Chilbiplatz,47.6266261,8.2151651,,0,de:08337:4012_Parent,0,
de:08337:4012:0:4,,Waldshut Chilbiplatz,47.6262931,8.2149495,,0,de:08337:4012_Parent,0,
de:08337:4012:0:5,,Waldshut Chilbiplatz,47.6266261,8.2151651,,0,de:08337:4012_Parent,0,
de:08337:4012:0:6,,Waldshut Chilbiplatz,47.6264203,8.2149315,,0,de:08337:4012_Parent,0,
de:08337:4012:0:7,,Waldshut Chilbiplatz,47.6266261,8.2151651,,0,de:08337:4012_Parent,0,
de:08337:4012_Parent,,Waldshut Chilbiplatz,47.6266261,8.2151741,,1,,,
de:08337:4013:0:1,,Waldshut Gewebeakademie,47.6247856,8.2172132,,,,0,
de:08337:4013:0:2,,Waldshut Gewebeakademie,47.6247493,8.2171593,,,,0,
de:08337:4014:0:1,,Waldshut Conrad-Gröber-Platz,47.6223516,8.216261,,,,0,
de:08337:4014:0:2,,Waldshut Conrad-Gröber-Platz,47.6223637,8.2163059,,,,0,
de:08337:4015:0:1,,Dogern Schule,47.6076789,8.1679946,,,,0,
de:08337:4016,,Dogern Linde,47.6087387,8.1722885,,,,0,
de:08337:4016:0:1,,Dogern Linde,47.6086479,8.1721358,,,,0,
de:08337:4016:0:2,,Dogern Linde,47.6088477,8.1724143,,,,0,
de:08337:4017:0:1,,Dogern Ost,47.6107433,8.1743007,,,,0,
de:08337:4017:0:2,,Dogern Ost,47.6110401,8.1750823,,,,0,
de:08337:4018:0:1,,Waldshut Altersheim,47.6237139,8.2090745,,,,0,
de:08337:4018:0:2,,Waldshut Altersheim,47.6238229,8.2099728,,,,0,
de:08337:4020:0:3,,Waldshut Römerplatz,47.6225817,8.2247052,,,,0,
de:08337:4022:0:1,,Waldshut Tannenstraße,47.6184583,8.2277505,,,,0,
de:08337:4023:0:1,,Waldshut Bergfriedhof,47.6204565,8.2289812,,,,0,
de:08337:4024:0:2,,Waldshut Bloisstraße,47.6183856,8.2305981,,,,0,
de:08337:4025:0:1,,Waldshut Ahornstraße,47.6159271,8.2308407,,,,0,
de:08337:4026:0:1,,Waldshut Scheffelhof,47.6225454,8.220034,,,,0,
de:08337:4026:0:2,,Waldshut Scheffelhof,47.6225575,8.2198273,,,,0,
de:08337:4027:0:1,,Waldshut Eichholzstraße Süd,47.6201719,8.2311012,,,,0,
de:08337:4028:0:1,,Waldshut Robert-Gerwig-Straße,47.621952,8.2193782,,,,0,
de:08337:4029:0:1,,Waldshut Schützenhaus,47.6301254,8.212569,,,,0,
de:08337:4029:0:2,,Waldshut Schützenhaus,47.6302101,8.2123354,,,,0,
de:08337:4030:0:1,,Schmitzingen Schmitzinger Straße 60,47.6332854,8.2097572,,,,0,
de:08337:4030:0:2,,Schmitzingen Schmitzinger Straße 60,47.6328617,8.2100537,,,,0,
de:08337:4031:0:1,,Schmitzingen Schmitzinger Straße 63,47.6373048,8.2073408,,,,0,
de:08337:4031:0:2,,Schmitzingen Schmitzinger Straße 63,47.6366329,8.2076013,,,,0,
de:08337:4032:0:1,,Waldshut Waldparkplatz,47.6403009,8.2073408,,,,0,
de:08337:4032:0:2,,Waldshut Waldparkplatz,47.6407428,8.207188,,,,0,
de:08337:4033:0:1,,Schmitzingen Kapelle,47.6495426,8.201349,,,,0,
de:08337:4033:0:2,,Schmitzingen Kapelle,47.6494155,8.2014568,,,,0,
de:08337:4034:0:1,,Schmitzingen Post,47.6516001,8.1985373,,,,0,
de:08337:4034:0:2,,Schmitzingen Post,47.6514791,8.198708,,,,0,
de:08337:4035:0:2,,Schmitzingen Haus Granacher,47.6545955,8.1942613,,,,0,
de:08337:4037:0:1,,Waldshut Abzw. Wildgehege,47.6299559,8.2362126,,,,0,
de:08337:4037:0:2,,Waldshut Abzw. Wildgehege,47.6286422,8.2348651,,,,0,
de:08337:4039:0:1,,Dogern Industriegebiet,47.6049352,8.1644642,,,,0,
de:08337:4039:0:2,,Dogern Industriegebiet,47.6050321,8.1649133,,,,0,
de:08337:4040:0:1,,Dogern Möbelmarkt,47.6008164,8.1548702,,,,0,
de:08337:4040:0:2,,Dogern Möbelmarkt,47.6007983,8.1550678,,,,0,
de:08337:4041:0:1,,Kiesenbach,47.6008285,8.1451324,,,,0,
de:08337:4041:0:2,,Kiesenbach,47.6007074,8.1447641,,,,0,
de:08337:4042:0:1,,Albbruck Bad,47.5961339,8.1393742,,,,0,
de:08337:4042:0:2,,Albbruck Bad,47.5959522,8.1390778,,,,0,
de:08337:4043:0:1,,Albbruck Eisenbahnstraße,47.5936078,8.1336609,,,,0,
de:08337:4043:0:2,,Albbruck Eisenbahnstraße,47.5936623,8.1339035,,,,0,
de:08337:4045:0:1,,Albbruck Schanz,47.5895063,8.1260702,,,,0,
de:08337:4045:0:2,,Albbruck Schanz,47.5894699,8.1261241,,,,0,
de:08337:4046:0:1,,Albbruck Kies,47.5871191,8.1199527,,,,0,
de:08337:4046:0:2,,Albbruck Kies,47.5870525,8.1198269,,,,0,
de:08337:4047:0:1,,Albert,47.58515,8.1123529,,,,0,
de:08337:4047:0:2,,Albert,47.5857195,8.1137183,,,,0,
de:08337:4048:0:1,,Hauenstein,47.5828657,8.10858,,,,0,
de:08337:4048:0:2,,Hauenstein,47.5827445,8.108553,,,,0,
de:08337:4049:0:1,,Luttingen Kranz,47.5750243,8.100019,,,,0,
de:08337:4049:0:2,,Luttingen Kranz,47.5750788,8.1001089,,,,0,
de:08337:4051:0:1,,Laufenburg Hebelschule,47.5624781,8.04939,,,,0,
de:08337:4052:0:1,,Luttingen Dorfzelgstraße,47.5713092,8.0944405,,,,0,
de:08337:4052:0:2,,Luttingen Dorfzelgstraße,47.5712729,8.0944585,,,,0,
