origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg
Augsburg Morellstraße,Lindau-Reutin,Train Longue Distance Nuit,48.3550375,10.893025,47.5523177,9.7012121,06:35:00,08:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Lindau-Reutin,125.87205149403334,1.9983446895192734
Augsburg Morellstraße,Oberstaufen,Train Longue Distance Nuit,48.3550375,10.893025,47.5539364,10.0255039,06:35:00,08:06:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Oberstaufen,110.03753381087853,1.7469558867815076
Augsburg Morellstraße,Röthenbach (Allgäu),Train Longue Distance Nuit,48.3550375,10.893025,47.6205715,9.9535579,06:35:00,08:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Morellstraße,Röthenbach (Allgäu),107.50701995076055,1.7067814487382746
Aulendorf Bahnhof,"Aalen, Hauptbahnhof",Train Longue Distance,47.9529382,9.6439535,48.8416955,10.096417,18:12:00,20:11:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,"Aalen, Hauptbahnhof",104.31789178909904,1.6561508500437363
Aulendorf Bahnhof,Bad Säckingen Bahnhof,Train Longue Distance,47.9529683,9.6438996,47.5559371,7.9487877,09:59:00,12:48:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,Bad Säckingen Bahnhof,134.1886378377548,2.130378814312196
Aulendorf Bahnhof,Badischer Bahnhof,Train Longue Distance,47.9529683,9.6438996,47.5677212,7.6082453,09:59:00,13:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,Badischer Bahnhof,158.0723811977853,2.5095571238960392
Aulendorf Bahnhof,Lauchringen Bahnhof,Train Longue Distance,47.9529683,9.6438996,47.6289993,8.3224329,09:59:00,12:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,Lauchringen Bahnhof,105.08563853565626,1.6683395973920787
Aulendorf Bahnhof,Rheinfelden (Baden) Bahnhof,Train Longue Distance,47.9529683,9.6438996,47.5569071,7.784378,09:59:00,12:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,Rheinfelden (Baden) Bahnhof,145.81659379885284,2.3149842431505876
Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,Train Longue Distance,47.9529683,9.6438996,47.635513,8.2723429,09:59:00,12:23:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,108.3641604209313,1.7203894108427056
Aulendorf Bahnhof,Waldshut Bahnhof,Train Longue Distance,47.9529683,9.6438996,47.6215161,8.2193782,09:59:00,12:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Aulendorf Bahnhof,Waldshut Bahnhof,112.62528526698723,1.7880390288986894
Bad Schussenried,Bad Säckingen Bahnhof,Train Longue Distance,47.9937673,9.668244,47.5559371,7.9487877,17:53:00,20:48:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Schussenried,Bad Säckingen Bahnhof,137.40171681101629,2.1813896560916946
Bad Schussenried,Badischer Bahnhof,Train Longue Distance,47.9937673,9.668244,47.5677212,7.6082453,17:53:00,21:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Schussenried,Badischer Bahnhof,161.04183767989701,2.556700215006045
Bad Schussenried,Rheinfelden (Baden) Bahnhof,Train Longue Distance,47.9937673,9.668244,47.5569071,7.784378,17:53:00,20:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Schussenried,Rheinfelden (Baden) Bahnhof,148.91691417246983,2.3642049294021312
Bad Schussenried,Tiengen (Hochrhein) Bahnhof,Train Longue Distance,47.9937673,9.668244,47.635513,8.2723429,17:53:00,20:23:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Schussenried,Tiengen (Hochrhein) Bahnhof,111.58405707204211,1.7715084900757405
Bad Schussenried,Waldshut Bahnhof,Train Longue Distance,47.9937673,9.668244,47.6215161,8.2193782,17:53:00,20:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Schussenried,Waldshut Bahnhof,115.84737542074684,1.839192932179777
Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,Train Longue Distance Nuit,47.5558643,7.9487338,47.7305231,9.3448325,05:57:00,08:11:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,106.3779034002627,0.09382531079903171
Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,47.5558643,7.9487338,47.6515396,9.4824544,08:09:00,10:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,115.47786749335746,0.10185147912914128
Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,47.5558643,7.9487338,47.6533671,9.473588,05:57:00,08:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,114.8330132311778,0.10128271766989883
Bad Säckingen Bahnhof,Markdorf Bahnhof,Train Longue Distance Nuit,47.5558643,7.9487338,47.7168416,9.3884457,05:57:00,08:15:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Säckingen Bahnhof,Markdorf Bahnhof,109.34646291011283,0.09644358028671952
Bad Säckingen Bahnhof,"Salem, Bahnhof",Train Longue Distance Nuit,47.5558643,7.9487338,47.7577,9.2969523,05:57:00,08:07:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bad Säckingen Bahnhof,"Salem, Bahnhof",103.44084341055547,0.09123482388810993
Badischer Bahnhof,Bahnhof Überlingen,Train Longue Distance Nuit,47.5677212,7.6082453,47.7689677,9.1630584,05:26:00,07:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Bahnhof Überlingen,118.55481153186875,0.10456534377110825
Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,Train Longue Distance Nuit,47.5677212,7.6082453,47.7305231,9.3448325,05:26:00,08:11:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,131.33593947129498,0.11583829861368218
Badischer Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,47.5677212,7.6082453,47.6515396,9.4824544,07:37:00,10:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Friedrichshafen Hafenbahnhof,140.80578682797096,0.12419070398227039
Badischer Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,47.5677212,7.6082453,47.6533671,9.473588,05:26:00,08:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Friedrichshafen Stadtbahnhof,140.1538494064175,0.12361569517646023
Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,47.5677212,7.6082453,47.8155463,9.0531316,05:26:00,07:40:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,111.60004778222017,0.0984312421439182
