stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
de:09183:1578,,Krötzing,48.12526,12.2785865,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1578,1,,
de:09183:1578:0:1,,Krötzing,48.125266,12.2786404,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1578,0,de:09183:1578,
de:09183:1578:0:2,,Krötzing,48.125266,12.2785416,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1578,0,de:09183:1578,
de:09183:1579,,Brandstätt,48.135087,12.2798621,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1579,1,,
de:09183:1579:0:1,,Brandstätt,48.135069,12.279925,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1579,0,de:09183:1579,
de:09183:1579:0:2,,Brandstätt,48.135099,12.2797992,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:1579,0,de:09183:1579,
de:09183:15909,,Oberzarnham,48.1380545,12.3649146,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15909,1,,
de:09183:15909:0:1,,Oberzarnham,48.1377308,12.3648786,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15909,0,de:09183:15909,
de:09183:15909:0:2,,Oberzarnham,48.1382223,12.3649415,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15909,0,de:09183:15909,
de:09183:15910,,Unterzarnham,48.1452717,12.366801,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15910,1,,
de:09183:15910:0:1,,Unterzarnham,48.1451279,12.3667651,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15910,0,de:09183:15910,
de:09183:15910:0:2,,Unterzarnham,48.1454456,12.366846,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:15910,0,de:09183:15910,
de:09183:16601,,Kirnhausen,48.2978005,12.4006945,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:16601,1,,
de:09183:16601:0:2,,Kirnhausen,48.2977945,12.4006406,https://efa.mvv-muenchen.de/index.html?name_origin=de:09183:16601,0,de:09183:16601,
