origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider
Gare de Folligny,Gare de Briouze,EuroNight,48.8299473,-1.407223,48.7018635,-0.3682037,18:52:00,19:49:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Caen,EuroNight,48.8299473,-1.407223,49.1763537,-0.347613,12:45:00,14:46:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Coutances,EuroNight,48.8299473,-1.407223,49.042928,-1.4417261,12:45:00,13:37:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Dol-de-Bretagne,EuroNight,48.8299473,-1.407223,48.5442508,-1.7505361,11:08:00,11:58:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Dreux,EuroNight,48.8299473,-1.407223,48.731493,1.3701634,18:52:00,21:15:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Flers,EuroNight,48.8299473,-1.407223,48.7447856,-0.5732157,18:52:00,19:37:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Granville,EuroNight,48.8299473,-1.407223,48.8383212,-1.5875472,12:27:00,12:39:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de L'Aigle,EuroNight,48.8299473,-1.407223,48.7662297,0.620014,18:52:00,20:40:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Lison,EuroNight,48.8299473,-1.407223,49.2268337,-1.0503391,12:45:00,14:15:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Nonancourt,EuroNight,48.8299473,-1.407223,48.7757617,1.1928376,18:35:00,21:07:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Paris Montparnasse Hall 1 - 2,EuroNight,48.8299473,-1.407223,48.8411711,2.3205138,18:52:00,22:06:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Pontchaillou,EuroNight,48.8299473,-1.407223,48.1186426,-1.6911174,11:08:00,12:28:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Pontorson - Mont-Saint-Michel,EuroNight,48.8299473,-1.407223,48.5527292,-1.5049304,11:08:00,11:41:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Rennes,EuroNight,48.8299473,-1.407223,48.1035178,-1.6727439,11:08:00,12:33:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Saint-Lô,EuroNight,48.8299473,-1.407223,49.1169738,-1.0995247,12:45:00,14:02:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Sainte-Gauburge,EuroNight,48.8299473,-1.407223,48.7172834,0.4281636,18:35:00,20:27:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Surdon,EuroNight,48.8299473,-1.407223,48.6647706,0.1344098,18:52:00,20:18:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Verneuil-sur-Avre,EuroNight,48.8299473,-1.407223,48.7424865,0.9291927,18:52:00,20:54:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Versailles Chantiers,EuroNight,48.8299473,-1.407223,48.795829,2.1358823,18:35:00,21:55:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Villedieu-les-Poêles,EuroNight,48.8299473,-1.407223,48.8341501,-1.2254182,18:52:00,19:03:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Vire,EuroNight,48.8299473,-1.407223,48.8463297,-0.8828841,18:52:00,19:19:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Formerie,Gare de Abancourt,EuroNight,49.6546056,1.7235881,49.6856202,1.7742912,09:53:00,10:07:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Formerie,Gare de Amiens,EuroNight,49.6546056,1.7235881,49.8905865,2.3082788,09:53:00,11:11:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Formerie,Gare de Poix-de-Picardie,EuroNight,49.6546056,1.7235881,49.7777843,1.9898979,09:53:00,10:32:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Barentin,EuroNight,49.6083289,0.5969902,49.5491222,0.9535169,06:26:00,06:49:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Bréauté - Beuzeville,EuroNight,49.6083289,0.5969902,49.6033957,0.4174892,07:53:00,08:02:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Le Havre,EuroNight,49.6083289,0.5969902,49.4926229,0.1246437,07:53:00,08:18:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Pavilly,EuroNight,49.6083289,0.5969902,49.5638978,0.9506439,06:26:00,06:46:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Rouen Rive Droite,EuroNight,49.6083289,0.5969902,49.4486637,1.0941026,06:26:00,07:00:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Yvetot,EuroNight,49.6083289,0.5969902,49.6221158,0.7501387,06:26:00,06:35:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Foucart - Alvimare,Gare de Étainhus - Saint-Romain,EuroNight,49.6083289,0.5969902,49.5604867,0.3304938,07:53:00,08:08:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Beslé,EuroNight,47.7298653,-1.8513145,47.6988805,-1.8706372,13:12:00,13:17:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Bruz,EuroNight,47.7298653,-1.8513145,48.0285807,-1.7515872,06:45:00,07:08:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Guichen - Bourg-des-Comptes,EuroNight,47.7298653,-1.8513145,47.9350967,-1.7601842,06:45:00,07:05:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Malansac,EuroNight,47.7298653,-1.8513145,47.6755599,-2.2958694,13:12:00,13:40:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Messac - Guipry,EuroNight,47.7298653,-1.8513145,47.8222511,-1.8182201,06:45:00,06:54:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Pléchâtel,EuroNight,47.7298653,-1.8513145,47.8718621,-1.7763522,06:45:00,06:59:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Questembert,EuroNight,47.7298653,-1.8513145,47.6830213,-2.4496212,13:12:00,13:48:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Redon,EuroNight,47.7298653,-1.8513145,47.6520047,-2.08777,13:12:00,13:30:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Rennes,EuroNight,47.7298653,-1.8513145,48.1035178,-1.6727439,06:45:00,07:17:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeray - Langon,Gare de Vannes,EuroNight,47.7298653,-1.8513145,47.6651702,-2.75245,13:12:00,14:01:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Bournezeau,Train Longue Distance,46.6653633,-1.2321027,46.6515229,-1.1783978,14:17:00,14:23:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Bressuire,Train Longue Distance,46.6653633,-1.2321027,46.8384051,-0.4961401,14:17:00,15:22:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Cerizay,Train Longue Distance,46.6653633,-1.2321027,46.8175516,-0.6673134,14:17:00,15:09:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Chantonnay,Train Longue Distance,46.6653633,-1.2321027,46.6902585,-1.0542092,14:17:00,14:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de La Chaize-le-Vicomte,Train Longue Distance,46.6653633,-1.2321027,46.6768448,-1.2835958,18:37:00,18:43:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de La Roche-sur-Yon,Train Longue Distance,46.6653633,-1.2321027,46.6720757,-1.4356603,18:37:00,18:54:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Langeais,Train Longue Distance,46.6653633,-1.2321027,47.3240248,0.4097404,14:17:00,16:48:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Montreuil-Bellay,Train Longue Distance,46.6653633,-1.2321027,47.1254197,-0.1482834,14:17:00,16:04:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Pouzauges,Train Longue Distance,46.6653633,-1.2321027,46.7524179,-0.8145972,14:17:00,14:54:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Saumur,Train Longue Distance,46.6653633,-1.2321027,47.2689958,-0.0714032,14:17:00,16:26:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Thouars,Train Longue Distance,46.6653633,-1.2321027,46.98504,-0.2100197,14:17:00,15:47:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Tours,Train Longue Distance,46.6653633,-1.2321027,47.3898771,0.6928408,14:17:00,17:04:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Brélidy - Plouec,Train Longue Distance,48.7275944,-3.1284529,48.6691549,-3.1962139,07:07:00,07:23:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Gourland,Train Longue Distance,48.7275944,-3.1284529,48.561,-3.1668192,07:07:00,07:37:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Guingamp,Train Longue Distance,48.7275944,-3.1284529,48.555661,-3.143343,07:07:00,07:42:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Lancerf,Train Longue Distance,48.7275944,-3.1284529,48.7618773,-3.117832,18:09:00,18:17:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Paimpol,Train Longue Distance,48.7275944,-3.1284529,48.7769408,-3.0460956,18:09:00,18:24:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Pontrieux,Train Longue Distance,48.7275944,-3.1284529,48.7056443,-3.1574279,07:07:00,07:14:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Pontrieux Halte,Train Longue Distance,48.7275944,-3.1284529,48.6980187,-3.1643817,07:07:00,07:16:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Traou Nez,Train Longue Distance,48.7275944,-3.1284529,48.7485532,-3.1349713,18:09:00,18:14:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frynaudour,Gare de Trégonneau - Squiffiec,Train Longue Distance,48.7275944,-3.1284529,48.6243598,-3.1742524,07:07:00,07:29:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frénouville - Cagny,Gare de Beaumont-le-Roger,Train Longue Distance,49.1411537,-0.26041,49.0741994,0.7726988,18:28:00,19:21:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frénouville - Cagny,Gare de Bernay,Train Longue Distance,49.1411537,-0.26041,49.0871158,0.5956878,18:28:00,19:10:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frénouville - Cagny,Gare de Caen,EuroNight,49.1411537,-0.26041,49.1763537,-0.347613,07:12:00,07:20:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frénouville - Cagny,Gare de Conches,Train Longue Distance,49.1411537,-0.26041,48.962359,0.9378896,18:28:00,19:34:00,,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frénouville - Cagny,Gare de La Bonneville-sur-Iton,Train Longue Distance,49.1411537,-0.26041,48.9884629,1.0350725,18:28:00,19:40:00,,mobility_db,FR_BreizhGo_mdb-1837
