station_lat,station_long,airport_name,aero_lat,aero_long,iata_code,country_code,station_airport_km,station_name
47.6800865,-2.9993628,Vannes-Meucon Airport,47.723301,-2.71856,VNE,FR,21.555761469197147,Gare de Auray
47.28086,-2.4788695,La Baule-Escoublac Airport,47.289398,-2.34639,LBY,FR,10.037808588804888,Gare de Batz-sur-Mer
49.2697288,-0.6980999,Mosles Airfield,49.30083,-0.81183,,FR,8.944629082652588,Gare de Bayeux
47.7784038,1.6259389,Beaugency Airfield,47.749467,1.578984,,FR,4.761334113800729,Gare de Beaugency
49.0741994,0.7726988,Bernay-Saint-Martin Airfield,49.102351,0.565882,,FR,15.382487003542504,Gare de Beaumont-le-Roger
49.0871158,0.5956878,Bernay-Saint-Martin Airfield,49.102351,0.565882,,FR,2.7531249302945526,Gare de Bernay
47.5854518,1.3237539,Chouzy-sur-Cisse Airfield,47.506944,1.232778,,FR,11.082990763946754,Gare de Blois - Chambord
46.6515229,-1.1783978,La Roche-sur-Yon Les Ajoncs Airport,46.7019,-1.37863,EDM,FR,16.270857056916547,Gare de Bournezeau
46.8384051,-0.4961401,Bournizeaux Airfield,46.88053,-0.28448,,FR,16.761165782598017,Gare de Bressuire
48.3876203,-4.4803058,Brest Bretagne airport,48.447899,-4.41854,BES,FR,8.105795402078375,Gare de Brest
48.4327315,0.8923604,Fontaine Simon Airfield,48.506027,0.991064,,FR,10.925967003140132,Gare de Bretoncelles
49.2034122,-0.5127396,Caen Carpiquet airport,49.17678,-0.454883,CFR,FR,5.1427397854203,Gare de Bretteville - Norrey
47.0487214,-0.1848964,Aérodrome de Thouars,46.961899,-0.152778,,FR,9.956665359597046,Gare de Brion-près-Thouet
48.7018635,-0.3682037,Aérodrome de Flers Saint-Paul,48.749964,-0.593927,,FR,17.399485657970686,Gare de Briouze
48.3333985,-2.2357459,Dinan-Trélivan Airfield,48.443351,-2.103142,,FR,15.663881846149346,Gare de Broons
49.6033957,0.4174892,Havre-Saint-Romain-de-Colbosc Airfield,49.544676,0.360403,,FR,7.718533452257412,Gare de Bréauté - Beuzeville
49.1763537,-0.347613,Caen Carpiquet airport,49.17678,-0.454883,CFR,FR,7.797758059835407,Gare de Caen
49.302483,-1.2449382,Lessay Airfield,49.202276,-1.507983,,FR,22.105473216937924,Gare de Carentan
48.2844266,-2.1555927,Dinan-Trélivan Airfield,48.443351,-2.103142,,FR,18.09143567243501,Gare de Caulnes
46.8175516,-0.6673134,Mauléon Airfield,46.902802,-0.697778,,FR,9.758307249027194,Gare de Cerizay
48.1128111,-1.6021099,Rennes-Saint-Jacques Airport,48.0695,-1.73479,RNS,FR,10.968320162290626,Gare de Cesson-Sévigné
48.0197494,0.3356649,Le Mans-Arnage Airport,47.948604,0.201702,LME,FR,12.727658334995285,Gare de Champagné
47.4103145,-0.8686763,Saint Sigismond ULM,47.439444,-0.935833,,FR,6.001325985519531,Gare de Champtocé-sur-Loire
