station_name,city,lat,lon,country_code,annual_station_traffic,city_population
Gare de Briouze,Gare de Briouze,48.7018635,-0.3682037,,45439.0,1512.0
Gare de Broons,Gare de Broons,48.3333985,-2.2357459,,70577.0,2943.0
Gare de Bréauté - Beuzeville,Gare de Bréauté - Beuzeville,49.6033957,0.4174892,,739866.0,1329.0
Gare de Caen,Gare de Caen,49.1763537,-0.347613,,4255508.0,109400.0
Gare de Carentan,Gare de Carentan,49.302483,-1.2449382,,227651.0,75580.0
Gare de Caulnes,Gare de Caulnes,48.2844266,-2.1555927,,90645.0,2501.0
Gare de Cerizay,Gare de Cerizay,46.8175516,-0.6673134,,56169.0,4793.0
Gare de Cesson-Sévigné,Gare de Cesson-Sévigné,48.1128111,-1.6021099,,207859.0,18761.0
Gare de Champagné,Gare de Champagné,48.0197494,0.3356649,,203396.0,3666.0
Gare de Champtocé-sur-Loire,Gare de Champtocé-sur-Loire,47.4103145,-0.8686763,,203396.0,1829.0
Gare de Chantonnay,Gare de Chantonnay,46.6902585,-1.0542092,,16990.0,8557.0
Gare de Chartres,Gare de Chartres,48.4482028,1.4813126,,3536538.0,38324.0
Gare de Cherbourg,Gare de Cherbourg,49.6335183,-1.6214867,,,75580.0
Gare de Château-du-Loir,Gare de Château-du-Loir,47.6833356,0.4149592,,155829.0,229.0
Gare de Châteaubourg,Gare de Châteaubourg,48.1063608,-1.4051588,,683698.0,7533.0
Gare de Cinq-Mars-la-Pile,Gare de Cinq-Mars-la-Pile,47.3451747,0.4581184,,186647.0,4015.0
Gare de Clisson,Gare de Clisson,47.0860158,-1.2862919,,1124278.0,7452.0
Gare de Clères,Gare de Clères,49.5991119,1.1061752,,157511.0,1381.0
Gare de Conches,Gare de Conches,48.962359,0.9378896,,,75580.0
Gare de Condé-sur-Huisne,Gare de Condé-sur-Huisne,48.383367,0.8488811,,24049.0,226.0
Gare de Conlie,Gare de Conlie,48.1272219,-0.0116197,,68499.0,1833.0
Gare de Connerré - Beillé,Gare de Connerré - Beillé,48.0737072,0.4869016,,109988.0,2780.0
Gare de Corbie,Gare de Corbie,49.9116341,2.4999483,,485815.0,5982.0
Gare de Courville-sur-Eure,Gare de Courville-sur-Eure,48.4513371,1.2349025,,28711.0,2791.0
Gare de Coutances,Gare de Coutances,49.042928,-1.4417261,,222446.0,8321.0
Gare de Dieppe,Gare de Dieppe,49.9217887,1.0811328,,695838.0,28496.0
Gare de Dol-de-Bretagne,Gare de Dol-de-Bretagne,48.5442508,-1.7505361,,654150.0,5829.0
Gare de Douai,Gare de Douai,50.3716757,3.0899613,,3472422.0,40250.0
Gare de Dreux,Gare de Dreux,48.731493,1.3701634,,28711.0,31543.0
Gare de Flers,Gare de Flers,48.7447856,-0.5732157,,155284.0,14432.0
Gare de Folligny,Gare de Folligny,48.8299473,-1.407223,,440344.0,1119.0
Gare de Fougeré,Gare de Fougeré,46.6653633,-1.2321027,,1548.0,1240.0
Gare de Frénouville - Cagny,Gare de Frénouville - Cagny,49.1411537,-0.26041,,25986.0,2050.0
Gare de Gazeran,Gare de Gazeran,48.625821,1.7718286,,370917.0,1492.0
