origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,trip_count_corridor,trip_count_origin,service_share,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
"Amsterdam, Centraal",München Hbf Gleis 14,EuroNight,33.55249182101806,176.37470338052273,142.82221155950467,0,667.3925253812719,52.3789574,4.9006063,48.1400807,11.5575178,"Amsterdam, Centraal",München Hbf Gleis 14,43.0,235.0,0.1829787234042553,,,,
"Amsterdam, Centraal",München Hbf Gleis 15,EuroNight,33.55209517083685,176.37470338052273,142.82260820968588,0,667.3846356135747,52.3789574,4.9006063,48.1401826,11.5575268,"Amsterdam, Centraal",München Hbf Gleis 15,1.0,235.0,0.00425531914893617,,,,
"Amsterdam, Centraal",Münster (Westf) Hauptbahnhof,EuroNight,9.668712477271262,84.38774711007544,74.71903463280418,1,192.3203341144779,52.3789574,4.9006063,51.9566277,7.6353295,"Amsterdam, Centraal",Münster (Westf) Hauptbahnhof,43.0,235.0,0.1829787234042553,,,290061.0,4738.0
"Amsterdam, Centraal",Nürnberg Hbf,EuroNight,27.253060452612853,148.0258944700216,120.77283401740874,1,542.0905528227883,52.3789574,4.9006063,49.4457552,11.0821383,"Amsterdam, Centraal",Nürnberg Hbf,114.0,235.0,0.4851063829787234,,,,
"Amsterdam, Centraal",Ostbahnhof Gleis 6,EuroNight,33.72545977993006,176.37470338052273,142.64924360059268,0,670.8330305909628,52.3789574,4.9006063,48.1274186,11.6053531,"Amsterdam, Centraal",Ostbahnhof Gleis 6,15.0,235.0,0.06382978723404255,,,,
"Amsterdam, Centraal",Ostbahnhof Gleis 8,EuroNight,33.726382182802524,176.37470338052273,142.6483211977202,0,670.8513781040405,52.3789574,4.9006063,48.1273047,11.6055327,"Amsterdam, Centraal",Ostbahnhof Gleis 8,39.0,235.0,0.16595744680851063,,,,
"Amsterdam, Centraal",Passau Hbf,EuroNight,37.07860296527655,184.81582588327515,147.7372229179986,0,737.5303927532433,52.3789574,4.9006063,48.5736385,13.450331,"Amsterdam, Centraal",Passau Hbf,2.0,235.0,0.00851063829787234,,,,50560.0
"Amsterdam, Centraal",Rosenheim,EuroNight,36.169847142944725,182.5188741971042,146.34902705415948,0,719.4543331134329,52.3789574,4.9006063,47.8499797,12.1192703,"Amsterdam, Centraal",Rosenheim,80.0,235.0,0.3404255319148936,,,,60167.0
Ankara,Kars,InterCity,57.77360651101507,221.54920629337312,163.77559978235806,0,873.3727363721098,39.93498,32.84395,40.60528,43.10639,Ankara,Kars,,,,,3517182.0,,91450.0
Ankara,Kurtalan,InterCity,52.73768399810979,222.0562932707762,169.3186092726664,0,797.2439001981827,39.93498,32.84395,37.92809,41.69722,Ankara,Kurtalan,,,,,3517182.0,11803.0,32114.0
Ankara,Malatya,InterCity,33.27893437084952,138.5159111317286,105.23697676087906,1,503.0829081005218,39.93498,32.84395,38.3768,38.32295,Ankara,Malatya,,,,,3517182.0,,750491.0
Ankara,Tatvan,InterCity,54.73455676057651,228.6188283894652,173.88427162888868,0,827.4309412029706,39.93498,32.84395,38.50882,42.2762,Ankara,Tatvan,,,,,3517182.0,,73222.0
Ankara,İstanbul Halkalı,InterCity,24.164780561690485,112.26928669065079,88.10450612896031,1,365.30280516538903,39.93498,32.84395,41.01849,28.76616,Ankara,İstanbul Halkalı,,,,,3517182.0,,15701602.0
Ankara,İzmir Basmane,InterCity,34.34299709480415,140.42012256908865,106.0771254742845,1,519.1685123931088,39.93498,32.84395,38.42271,27.14408,Ankara,İzmir Basmane,,,,,3517182.0,,2938292.0
Arad,București Nord,InterCity,17.733158356745523,127.63186999136757,109.89871163462205,1,418.867119159711,46.19134,21.32492,44.44677,26.07441,Arad,București Nord,,,,526511.0,169065.0,,
Augsburg Hbf,Altona,EuroNight,9.216452110132522,140.92290696784627,131.70645485771377,1,580.5273437977149,48.3655307,10.885533,53.5519791,9.9343519,Augsburg Hbf,Altona,5.0,493.0,0.010141987829614604,,301105.0,,250192.0
Augsburg Hbf,"Amsterdam, Centraal",EuroNight,9.771554262259171,150.9823110577112,141.21075679545203,0,615.4922059876021,48.3656739,10.8858924,52.3789574,4.9006063,Augsburg Hbf,"Amsterdam, Centraal",22.0,493.0,0.04462474645030426,,301105.0,,
Augsburg Hbf,Esslingen (N) Gleis 5,Train Longue Distance,1.9658497287920815,79.12183817027584,77.15598844148376,1,123.82525376619309,48.365656,10.8858385,48.7385696,9.3006174,Augsburg Hbf,Esslingen (N) Gleis 5,2.0,493.0,0.004056795131845842,,301105.0,,92390.0
Augsburg Hbf,Hamburg Hbf,EuroNight,9.208814616068336,143.17741052941125,133.9685959133429,1,580.0462721131479,48.3655307,10.885533,53.5527529,10.0079239,Augsburg Hbf,Hamburg Hbf,6.0,493.0,0.012170385395537525,,301105.0,203396.0,1973896.0
