dep_name,arr_name,dep_city,arr_city,distance_km,is_long_distance
Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,108.3641604209313,true
Aulendorf Bahnhof,Waldshut Bahnhof,Aulendorf Bahnhof,Waldshut Bahnhof,112.62528526698723,true
Aurillac,Paris Austerlitz,Aurillac,Paris Austerlitz,435.98858180664377,true
Bad Schussenried,Bad Säckingen Bahnhof,Bad Schussenried,Bad Säckingen Bahnhof,137.40171681101629,true
Bad Schussenried,Badischer Bahnhof,Bad Schussenried,Badischer Bahnhof,161.04183767989701,true
Bad Schussenried,Rheinfelden (Baden) Bahnhof,Bad Schussenried,Rheinfelden (Baden) Bahnhof,148.91691417246983,true
Bad Schussenried,Tiengen (Hochrhein) Bahnhof,Bad Schussenried,Tiengen (Hochrhein) Bahnhof,111.58405707204211,true
Bad Schussenried,Waldshut Bahnhof,Bad Schussenried,Waldshut Bahnhof,115.84737542074684,true
Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,106.3779034002627,true
Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,115.47786749335746,true
Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,114.8330132311778,true
Bad Säckingen Bahnhof,Markdorf Bahnhof,Bad Säckingen Bahnhof,Markdorf Bahnhof,109.34646291011283,true
Bad Säckingen Bahnhof,"Salem, Bahnhof",Bad Säckingen Bahnhof,"Salem, Bahnhof",103.44084341055547,true
Badischer Bahnhof,Bahnhof Überlingen,Badischer Bahnhof,Bahnhof Überlingen,118.55481153186875,true
Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,131.33593947129498,true
Badischer Bahnhof,Friedrichshafen Hafenbahnhof,Badischer Bahnhof,Friedrichshafen Hafenbahnhof,140.80578682797096,true
Badischer Bahnhof,Friedrichshafen Stadtbahnhof,Badischer Bahnhof,Friedrichshafen Stadtbahnhof,140.1538494064175,true
Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,111.60004778222017,true
Badischer Bahnhof,Markdorf Bahnhof,Badischer Bahnhof,Markdorf Bahnhof,134.39347265618358,true
Badischer Bahnhof,Radolfzell Bahnhof,Badischer Bahnhof,Radolfzell Bahnhof,103.63291535438728,true
Badischer Bahnhof,"Salem, Bahnhof",Badischer Bahnhof,"Salem, Bahnhof",128.21517661356825,true
Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,124.29768754706564,true
Bahnhof Überlingen,Badischer Bahnhof,Bahnhof Überlingen,Badischer Bahnhof,118.55481153186875,true
Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,105.90449980612748,true
Bar,Zemun,Bar,Zemun,324.00076837130325,true
Bergen,Oslo S,Bergen,Oslo S,304.664381805284,true
Berlin Hbf,Budapest Nyugati,Berlin Hbf,Budapest Nyugati,689.4958375078542,true
Berlin Hbf,Graz Hbf,Berlin Hbf,Graz Hbf,623.7997096354479,true
Berlin Hbf,Paris Gare du Nord,Berlin Hbf,Paris Gare du Nord,873.8472072374328,true
Berlin Hbf,Stockholm C,Berlin Hbf,Stockholm C,810.5934008503954,true
Berlin Hbf,Zürich HB,Berlin Hbf,Zürich HB,668.1718928717406,true
Beuggen Bahnhof,Bahnhof Überlingen,Beuggen Bahnhof,Bahnhof Überlingen,103.34069068019238,true
Beuggen Bahnhof,Bermatingen-Ahausen Bahnhof,Beuggen Bahnhof,Bermatingen-Ahausen Bahnhof,116.06021655749642,true
Beuggen Bahnhof,Friedrichshafen Stadtbahnhof,Beuggen Bahnhof,Friedrichshafen Stadtbahnhof,124.86675182147685,true
Beuggen Bahnhof,Markdorf Bahnhof,Beuggen Bahnhof,Markdorf Bahnhof,119.10857217464434,true
Beuggen Bahnhof,"Salem, Bahnhof",Beuggen Bahnhof,"Salem, Bahnhof",112.96642633726766,true
Beuggen Bahnhof,Uhldingen-Mühlhofen Bahnhof,Beuggen Bahnhof,Uhldingen-Mühlhofen Bahnhof,109.03365099008492,true
Biberach (Riß),Bad Säckingen Bahnhof,Biberach (Riß),Bad Säckingen Bahnhof,150.4562075366277,true
Biberach (Riß),Badischer Bahnhof,Biberach (Riß),Badischer Bahnhof,173.5461380227689,true
Biberach (Riß),Erzingen (Baden) Bahnhof,Biberach (Riß),Erzingen (Baden) Bahnhof,112.84597270039654,true
Biberach (Riß),Rheinfelden (Baden) Bahnhof,Biberach (Riß),Rheinfelden (Baden) Bahnhof,161.71879064058683,true
Biberach (Riß),Tiengen (Hochrhein) Bahnhof,Biberach (Riß),Tiengen (Hochrhein) Bahnhof,124.71989843888687,true
Biberach (Riß),Waldshut Bahnhof,Biberach (Riß),Waldshut Bahnhof,128.97442248281178,true
Biberach Süd,Bad Säckingen Bahnhof,Biberach Süd,Bad Säckingen Bahnhof,150.51775081417196,true
Biberach Süd,Badischer Bahnhof,Biberach Süd,Badischer Bahnhof,173.73075011803837,true
Biberach Süd,Erzingen (Baden) Bahnhof,Biberach Süd,Erzingen (Baden) Bahnhof,112.84144032805317,true
Biberach Süd,Rheinfelden (Baden) Bahnhof,Biberach Süd,Rheinfelden (Baden) Bahnhof,161.83859727396987,true
Biberach Süd,Tiengen (Hochrhein) Bahnhof,Biberach Süd,Tiengen (Hochrhein) Bahnhof,124.7551768822576,true
Biberach Süd,Waldshut Bahnhof,Biberach Süd,Waldshut Bahnhof,129.0132072862169,true
Bielsko-Biała Gł.,Świnoujście,Bielsko-Biała Gł.,Świnoujście,559.173648330782,true
Bielsko-Biała Główna,Kołobrzeg,Bielsko-Biała Główna,Kołobrzeg,540.2059303082054,true
Bistrița Nord,București Nord,Bistrița Nord,București Nord,323.07934733505,true
Blaubeuren,Donaueschingen Bahnhof,Blaubeuren,Donaueschingen Bahnhof,108.45611309388235,true
Blaubeuren,Geisingen Bahnhof,Blaubeuren,Geisingen Bahnhof,100.10180726261356,true
Blaubeuren,Villingen Bahnhof/ZOB,Blaubeuren,Villingen Bahnhof/ZOB,105.52094275011439,true
Blaustein,Donaueschingen Bahnhof,Blaustein,Donaueschingen Bahnhof,117.38936892916776,true
Blaustein,Geisingen Bahnhof,Blaustein,Geisingen Bahnhof,108.7767856272184,true
Blaustein,Immendingen Bahnhof,Blaustein,Immendingen Bahnhof,103.0124840263309,true
Bobingen,Hergatz,Bobingen,Hergatz,102.06931394978199,true
Bobingen,Lindau-Insel,Bobingen,Lindau-Insel,117.81395909938952,true
Bobingen,Lindau-Reutin,Bobingen,Lindau-Reutin,116.13483724919115,true
Bodø,Trondheim S,Bodø,Trondheim S,466.17744901027874,true
Bohumín,Hel,Bohumín,Hel,524.6208669884766,true
Bohumín,Łeba,Bohumín,Łeba,542.7448652242813,true
Bolzano / Bozen,Roma Termini,Bolzano / Bozen,Roma Termini,519.0967485415856,true
Bratislava Nové Mesto,Split,Bratislava Nové Mesto,Split,521.7998892278248,true
Bratislava hl.st.,Humenné,Bratislava hl.st.,Humenné,363.16343357454554,true
Brașov,Budapest Keleti,Brașov,Budapest Keleti,538.0143949699024,true
Bregenz,Wien Hbf,Bregenz,Wien Hbf,500.954653388415,true
Briançon,Paris Austerlitz,Briançon,Paris Austerlitz,546.0006851829762,true
Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,Bruxelles Midi / Brussel Zuid,Milano Porta Garibaldi,,
Bruxelles Midi / Brussel Zuid,Praha hl.n.,Bruxelles Midi / Brussel Zuid,Praha hl.n.,,
Bruxelles Midi / Brussel Zuid,Wien Hbf,Bruxelles Midi / Brussel Zuid,Wien Hbf,,
București Nord,Arad,București Nord,Arad,418.867119159711,true
București Nord,Bistrița Nord,București Nord,Bistrița Nord,323.07934733505,true
București Nord,Budapest Keleti,București Nord,Budapest Keleti,637.6817691986246,true
București Nord,Chişinău,București Nord,Chişinău,357.95964565572797,true
București Nord,Cluj-Napoca,București Nord,Cluj-Napoca,323.9890934914132,true
București Nord,Iași,București Nord,Iași,323.841447701412,true
București Nord,Kyiv Pasazhyrskyi,București Nord,Kyiv Pasazhyrskyi,,
București Nord,Oradea,București Nord,Oradea,433.6380428042795,true
București Nord,Satu Mare,București Nord,Satu Mare,445.75838388999847,true
București Nord,Vatra Dornei Băi,București Nord,Vatra Dornei Băi,327.293847266987,true
București Nord,Wien Hbf,București Nord,Wien Hbf,852.0070230476704,true
București Nord,İstanbul Halkalı,București Nord,İstanbul Halkalı,439.9977264500113,true
Budapest Déli,Koper,Budapest Déli,Koper,459.38430139469756,true
Budapest Déli,Rijeka,Budapest Déli,Rijeka,426.77275759396673,true
Budapest Keleti,Brașov,Budapest Keleti,Brașov,538.0143949699024,true
Budapest Keleti,București Nord,Budapest Keleti,București Nord,637.6817691986246,true
Budapest Keleti,Kyiv Pasazhyrskyi,Budapest Keleti,Kyiv Pasazhyrskyi,,
Budapest Keleti,Split,Budapest Keleti,Split,489.599545109085,true
Budapest Keleti,Stuttgart Hbf,Budapest Keleti,Stuttgart Hbf,747.9209404467774,true
Budapest Keleti,Zürich HB,Budapest Keleti,Zürich HB,792.5146364909679,true
Budapest Nyugati,Berlin Hbf,Budapest Nyugati,Berlin Hbf,689.4958375078542,true
Budapest Nyugati,Warszawa Wschodnia,Budapest Nyugati,Warszawa Wschodnia,546.0700593571285,true
Budapest-Keleti,București Nord,Budapest-Keleti,București Nord,637.6911655423157,true
Burgas,Sofia,Burgas,Sofia,,
Cerbère,Paris Austerlitz,Cerbère,Paris Austerlitz,714.240059971162,true
