route_id,agency_id,route_short_name,route_long_name,route_type
16-490-0-s24-2,1,4900,Neuperlach Süd / Zorneding - Oberpframmern - Egmating - Glonn - Baiern,715
16-700-0-s24-2,1,7000,Hebertshausen - Schwabhausen - Bachern - Dachau,715
16-701-0-s24-1,1,7010,Vierkirchen-Esterhofen Ost - Giebig - Weichs - Ainhofen,715
16-702-0-s24-1,1,7020,Röhrmoos - Haimhausen - Lohhof,715
16-703-0-s24-1,1,7030,Maisach - Sulzemoos - Odelzhausen - Erdweg,715
16-704-0-s24-1,1,7040,Haag - Wollomoos - Altomünster  - Hohenzell - Altomünster,715
16-705-0-s24-1,1,7050,"Schwabhausen - Erdweg - Markt Indersdorf - Ried, Nord",715
16-706-0-s24-1,1,7060,Markt Indersdorf - Langenpettenbach - Hilgertshausen,715
16-707-0-s24-1,1,7070,Petershausen P+R-Platz - Jetzendorf - Hilgertshausen - Tandern,715
16-708-0-s24-1,1,7080,Korridor A Markt Indersdorf - Ebersbach - Weichs - Petershausen,715
16-709-0-s24-1,1,7090,Hebertshausen - Röhrmoos - Hebertshausen,715
16-710-0-s24-2,1,7100,Korridor A Dachau - Bergkirchen - Bachern,715
16-800-0-s24-1,1,8000,MVV-RufTaxi Fürstenfeldbruck / Emmering,715
16-820-0-s24-1,1,8200,MVV-RufTaxi Landsberied / Jesenwang / Adelshofen / Moorenweis,715
16-830-0-s24-1,1,8300,MVV-RufTaxi Gernlinden / Olching / Puchheim / Gröbenzell,715
16-840-0-s24-2,1,8400,MVV-RufTaxi Alling / Schöngeising Grafrath / Türkenfeld,715
16-850-0-s24-3,1,8500,MVV-RufTaxi Fürstenfeldbruck / Alling / Eichenau / Germering-Unterpfaffenhofen,715
16-870-0-s24-1,1,8700,MVV-RufTaxi Maisach / Unterschweinbach / Egenhofen / Pfaffenhofen a.d. Glonn,715
16-870-0-s24-2,1,8700,MVV-RufTaxi Maisach / Unterschweinbach / Egenhofen / Pfaffenhofen a.d. Glonn,715
16-880-0-s24-1,1,8800,MVV-RufTaxi Mammendorf / Oberschweinbach / Hattenhofen / Althegnenberg / Mittelstetten,715
18-501-0-s24-2,1,5010,Moosburg - Langenpreising - Wartenberg - Erding,715
18-502-0-s24-2,1,5020,Wartenberg - Langenpreising - Eitting - Erding,715
18-505-0-s24-1,1,5050,Mittbach - Isen - Markt Schwaben,715
18-540-3-s24-1,1,5403,"Dorfen, Bahnhof - Taufkirchen (Vils), Busbahnhof",715
18-562-1-s24-2,1,5621,Taufkirchen (Vils) - Hohenpolding - Schröding - Sulding - Taufkirchen (Vils),715
18-567-0-s24-1,1,5670,Walpertskirchen - Wörth - Pretzen - Erding,715
18-568-0-s24-1,1,5680,Markt Schwaben - Finsing - Moosinning - Klinikum - Erding,715
18-600-1-s24-1,1,6001,Freising - Pettenbrunn - Itzling - Haindlfing - Garten,715
18-600-2-s24-1,1,6002,Freising - Sünzhausen - Pallhausen,715
18-600-3-s24-1,1,6003,Freising - Dürneck - Achering - Pulling,715
18-600-4-s24-1,1,6004,Freising - Altenhausen - Edenhofen - Zellhausen,715
19-210-s24-5,1,210,"Brunnthal, Zusestraße - Ottobrunn - Neuperlach Süd",701
19-211-s24-2,1,211,Putzbrunn - Isarweg - Neubiberg - Neuperlach Süd,701
19-211-V-s24-1,1,211V,"Neubiberg, Realschule - Neubiberg - Unterbiberg",701
19-211-W-s24-1,1,211W,"Solalinden - Ottobrunn, Karl-Stieler-Str. - Riemerling, Th.-Heuss-Str. - Solalinden - Putzbrunn",701
19-212-s24-3,1,212,Grasbrunn - Putzbrunn - Ottobrunn - Neubiberg - Neuperlach Süd,701
19-214-s24-5,1,214,"Riemerling, Altenheim - Ottobrunn - Hohenbrunn",701
19-214-V-s24-1,1,214V,"Ottobrunn, Einsteinstraße - Ottobrunn - Neubiberg, Realschule",701
19-215-s24-1,1,215,Lohhof Süd - Sportpark - Unterschleißheim Ost,701
19-216-s24-1,1,216,"Taufkirchen, Hugo-Junkers-Str. - Höhenkirchen-Sieg. - Brunnthal - Hofolding - Faistenhaar",701
19-216-V-s24-1,1,216V,"Neubiberg, Realschule - Höhenkirchen-Sieg. - Brunnthal - Faistenhaar, Waldsiedlung / Hofolding",701
19-217-s24-1,1,217,Neuperlach Süd - Unterbiberg - Unterhaching,701
19-218-s24-2,1,218,Unterschleißheim West - Gewerbegebiet - Lohhof Süd,701
19-219-s24-1,1,219,"Garching-Hochbrück - Unterschleißheim Ost - Unterschleißheim, Business Campus Süd",701
19-219-V-s24-1,1,219V,"Hochbrück, Jahnstr. - Lohhof, Sportpark",701
19-220-s24-3,1,220,"Brunnthal, Zusestraße - Winning - Unterhaching - Sankt-Quirin-Platz - Giesing",701
19-220-V-s24-1,1,220V,Unterhaching - Fasanenpark,701
19-221-s24-1,1,221,"Unterhaching - Ottobrunn - München, Waldheimplatz",701
19-222-s24-1,1,222,Neuperlach Süd - Brunnthal Nord - Deisenhofen West - Höllriegelskreuth,701
19-222-s24-10,1,222,Neuperlach Süd - Brunnthal Nord - Deisenhofen West - Höllriegelskreuth,701
19-222-s24-8,1,222,Neuperlach Süd - Brunnthal Nord - Deisenhofen West - Höllriegelskreuth,701
19-222-s24-9,1,222,Neuperlach Süd - Brunnthal Nord - Deisenhofen West - Höllriegelskreuth,701
19-222-V-s24-1,1,222V,Bergham/Taufkirchen - Oberhaching - Grünwald - Pullach/Straßlach,701
19-222-V-s24-2,1,222V,Bergham/Taufkirchen - Oberhaching - Grünwald - Pullach/Straßlach,701
