route_id,agency_id,agency_1,agency_2,agency_3,route_short_name,route_long_name,route_desc,route_type,version,is_active,origin_trip_0,destination_trip_0,distance,emissions,classes,countries,source,source_interrail,picture,emissions_relation
25,CFR,CFR,,,1941 = 1942/R 8810,,1941: Satu Mare - Baia Mare - Dej - Beclean pe Somes - Deda - Gheorgheni - Miercurea Ciuc - Brașov - Constanța - Mangalia // 1942/R 8810: Mangalia - Constanța - Bucuresti Baneasa - Ploiești Vest - Brașov - Miercurea Ciuc - Gheorgheni - Dej - Baia Mare - Satu Mare,2,,Y,Satu Mare,Mangalia,974.0,,"seat, couchette, sleeper",RO,https://www.cfrcalatori.ro/,,,
13,CFR,CFR,,,1952 = 1954,,1952: Suceava Nord - Suceava - Bacău - Buzău - Constanța // 1954: Constanța - Fetești - Buzău - Bacău - Suceava - Suceava Nord,2,,Y,Suceava,Constanța,526.0,12.7,"seat, couchette",RO,https://www.cfrcalatori.ro/,,,
22,CFM/CFR,CFM,CFR,,401 = 402,Prietenia,401: Chişinău - Ungheni - Ungheni Prut - Nicolina - Iași - Târgu Frumos - Roman - Buzău - Mizil - Ploiești Sud - București Nord // 402: București Nord - Ploiești Sud - Mizil - Buzău - Râmnicu Sărat - Focșani - Mărășești - Adjud - Bacău - Roman - Târgu Frumos - Ungheni - Chişinău,2,,Y,Chişinău,București,584.0,13.5,"seat, couchette, sleeper","RO, MD",https://bileteinternationale.cfrcalatori.ro/en/,,,
39,CS,CS,,,1001 (A) = 1002 (A),Highlander,1001 (A): London Euston - Birmingham International  - Crewe - Preston - Dundee - Aberdeen // 1002 (A): Aberdeen - Dundee - Preston - Crewe - Birmingham International  - London Euston,2,,Y,London,Aberdeen,877.0,18.1,"seat, sleeper",GB,https://www.sleeper.scot/,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_CS_Highlands.jpeg,
40,CS,CS,,,1001 (FW) = 1002 (FW),Highlander,1001 (FW): London Euston - Birmingham International  - Crewe - Preston - Crianlarich - Fort William / An Gearasdan // 1002 (FW): Fort William / An Gearasdan - Crianlarich - Preston - Crewe - Birmingham International  - London Euston,2,,Y,London,Fort William,839.0,18.8,"seat, sleeper",GB,https://www.sleeper.scot/,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_CS_Highlands.jpeg,
41,CS,CS,,,1001 (I) = 1002 (I),Highlander,1001 (I): London Euston - Birmingham International  - Crewe - Preston - Stirling - Perth / Peairt - Aviemore - Inverness / Inbhir Nis // 1002 (I): Inverness / Inbhir Nis - Aviemore - Perth / Peairt - Stirling - Preston - Crewe - Birmingham International  - London Euston,2,,Y,London,Inverness,914.0,18.9,"seat, sleeper",GB,https://www.sleeper.scot/,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_CS_Highlands.jpeg,
38,CS,CS,,,1003 (E) = 1004 (E),Lowlander,1003 (E): London Euston - Watford Junction - Carlisle - Edinburgh Waverley // 1004 (E): Edinburgh Waverley - Carlisle - Watford Junction - London Euston,2,,Y,London,Edinburgh,644.0,14.7,"seat, sleeper",GB,https://www.sleeper.scot/,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_CS_Lowland.jpeg,
37,CS,CS,,,1003 (G) = 1004 (G),Lowlander,1003 (G): London Euston - Watford Junction - Carlisle - Motherwell - Glasgow Central // 1004 (G): Glasgow Central - Motherwell - Carlisle - Watford Junction - London Euston,2,,Y,London,Glasgow,645.0,14.6,"seat, sleeper",GB,https://www.sleeper.scot/,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_CS_Lowland.jpeg,
237,ES,ES,,,452 = 453,,452: Praha hl.n. - Ústí n.L.hl.n. - Děčín hl.n. - Bad Schandau - Dresden Hbf - Dresden Neustadt - Berlin Hbf - Deventer - Amersfoort Centraal - Amsterdam Centraal - Rotterdam Centraal - Antwerpen Centraal - Bruxelles-Midi / Brussel-Zuid // 453: Bruxelles-Midi / Brussel-Zuid - Antwerpen Centraal - Rotterdam Centraal - Den Haag - Schipol Airport - Amsterdam Centraal - Amersfoort Centraal - Deventer - Berlin Hbf - Dresden Neustadt - Dresden Hbf - Bad Schandau - Děčín hl.n. - Ústí n.L.hl.n. - Praha hl.n.,2,,Y,Praha,,852.0,16.2,"seat, couchette, sleeper","CZ, DE, NL, BE",https://www.europeansleeper.eu/de,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_ES.jpeg,
101,FS,FS,,,IC Notte 1954 = IC Notte 1955 (P),,IC Notte 1954: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Lamezia Terme Centrale - Roma Termini // IC Notte 1955 (P): Roma Termini - Napoli Centrale  - Salerno - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale,2,,Y,Palermo,Roma,867.0,17.7,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte_1964-1967.jpeg,
