stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding
473,473,Traille,43.9555215545,4.8092174164,0,
746,746,Troënes,43.9556191143,4.8301645814,0,
434,434,Université,43.9495355974,4.8192901082,0,1
601,601,Université,43.9493347908,4.819418276,0,1
205,205,Les Platanes,43.9468283684,4.6835530382,0,
389,389,Les Platanes,43.9471053174,4.6844732377,0,
175,175,Valabrègue,43.9642047556,4.7812028926,0,
314,314,Van Gogh,43.9429026586,4.8426024082,0,
346,346,Van Gogh,43.9431331303,4.8427495136,0,
880,880,Vedène Centre,43.9800398046,4.9059659884,0,
915,915,Vedène Orsan,43.9692511538,4.9003961264,0,
551,551,Ventoux,43.9411948635,4.8182283723,0,1
580,580,Ventoux,43.9408962578,4.8187007939,0,1
1081,1081,Vercors,43.9566972162,4.8345326039,0,
1194,1194,Verdun,43.9585852965,4.7734899348,0,
2279,2279,Verdun,43.9587099841,4.7735450936,0,1
1238,1238,Vertes Rives,43.937262963,4.8782642369,0,1
419,419,Vertes Rives,43.9373429593,4.8783051597,0,1
491,491,Vertes Rives,43.9370505109,4.8781178069,0,1
855,855,Vertes Rives,43.9369412338,4.8781751535,0,1
114,114,Victor Hugo,43.9553156209,4.7656549485,0,1
144,144,Victor Hugo,43.9552651368,4.7659018057,0,1
5,5,Booth,43.9266784567,4.8276371725,0,
96,96,Booth,43.9264538199,4.827627321,0,
902,902,Croisière,43.9519162772,4.8280721414,0,1
903,903,Croisière,43.9522222277,4.8284590819,0,1
208,208,Wetzlar,43.9437621927,4.8275027506,0,
271,271,Wetzlar,43.9437326727,4.8276134934,0,
1551,1551,Zone Artisanale,43.9574319119,4.7590840424,0,
1552,1552,Zone Artisanale,43.9576543437,4.7591931442,0,
2140,2140,Cristole,43.9257449273,4.8498349948,0,
2141,2141,Cristole,43.925800851,4.8497503555,0,
1273,1273,Collège Anne Frank,43.9378783485,4.9094732332,0,
1274,1274,Collège Anne Frank,43.9378783485,4.9094732332,0,
1282,1282,Galerie,43.959596845,4.7446203428,0,
321,321,Bosco,43.9617033703,4.8785864621,0,
339,339,Bosco,43.9616729261,4.8787345327,0,
1281,1281,Beaulieu,43.960238103,4.7351343534,0,
1284,1284,Beaulieu,43.9603044191,4.7341659142,0,
1283,1283,Michel Ange,43.9588577434,4.7385873589,0,
1304,1304,Michel Ange,43.9592463378,4.7385041873,0,
1291,1291,Les Lavandes,43.9822622524,4.6916203294,0,
1406,1406,Grange Rouge,43.9594849604,4.7622098761,0,1
1407,1407,Grange Rouge,43.9601905758,4.762028342,0,1
1201,1201,Chalancon,43.9616557586,4.8955824901,0,
1202,1202,Chalancon,43.9615849604,4.8959155267,0,
2342,2342,Croix de Joannis,43.9295568487,4.8754675756,0,1
821,821,Croix de Joannis,43.9295568487,4.8754675756,0,
2244,2244,Croix de Joannis,43.9285855349,4.8762331196,0,
1402,1402,Ile des Papes,43.9941019416,4.8178263329,0,
2183,2183,Les Halles,43.9478983253,4.8106159285,0,1
2396,2396,Les Halles,43.9479177109,4.8105545259,0,1
1400,1400,Parc des Libertés,43.9862331889,4.8216930368,0,
1401,1401,Parc des Libertés,43.9859406335,4.8215058145,0,
1308,1308,Paul Puaux,43.9487803528,4.8995589406,0,
1309,1309,Paul Puaux,43.948968264,4.8992188187,0,
2132,2132,Raspail,43.9446819234,4.7985623651,0,
1404,1404,Rouvre,43.9595504603,4.7552272377,0,
1405,1405,Rouvre,43.9597032211,4.7552337458,0,
2017,2017,Valliguières,43.9685446916,4.6745754138,0,1
2018,2018,Valliguières,43.9688590027,4.6754351907,0,1
1251,1251,Boutons d'Or,43.9262725992,4.8801370155,0,1
407,407,Boutons d'Or,43.926176026,4.8808047238,0,1
2275,2275,Les Mousselières,43.9578354119,4.759947954,0,1
2276,2276,Les Mousselières,43.9576722389,4.7608125838,0,1
1423,1423,Font des Caven,43.9740931464,4.6958771396,0,
1424,1424,Font des Caven,43.9740931464,4.6958771396,0,
685,685,Croix des Oiseaux,43.9343742225,4.8234690577,0,1
691,691,Croix des Oiseaux,43.9342450129,4.8236127583,0,1
1116,1116,Rochefort Centre,43.9757874674,4.6890724081,0,1
1131,1131,Rochefort Centre,43.9758301794,4.6879283191,0,1
111,111,Mairie des Angles,43.9542339171,4.7734027745,0,1
