trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
CAGCVV-20:00-35:00:00,20:00:00,20:00:00,ITCAG,1,,0,1,,,,
BCNPTO-23:59-36:14:00,36:14:00,36:14:00,ESBCN,2,,1,0,,,,
BCNPTO-23:59-36:14:00,23:59:00,23:59:00,ITPTO,1,,0,1,,,,
BCNPTO-22:45-35:00:00,35:00:00,35:00:00,ESBCN,2,,1,0,,,,
BCNPTO-22:45-35:00:00,22:45:00,22:45:00,ITPTO,1,,0,1,,,,
BCNPTO-22:00-34:15:00,34:15:00,34:15:00,ESBCN,2,,1,0,,,,
BCNPTO-22:00-34:15:00,22:00:00,22:00:00,ITPTO,1,,0,1,,,,
BCNPTO-21:00-33:15:00,33:15:00,33:15:00,ESBCN,2,,1,0,,,,
BCNPTO-21:00-33:15:00,21:00:00,21:00:00,ITPTO,1,,0,1,,,,
BCNPTO-20:30-32:45:00,32:45:00,32:45:00,ESBCN,2,,1,0,,,,
BCNPTO-20:30-32:45:00,20:30:00,20:30:00,ITPTO,1,,0,1,,,,
BCNPTO-00:30-12:45:00,12:45:00,12:45:00,ESBCN,2,,1,0,,,,
BCNPTO-00:30-12:45:00,00:30:00,00:30:00,ITPTO,1,,0,1,,,,
BCNCVV-23:59-43:59:00,43:59:00,43:59:00,ITCVV,2,,1,0,,,,
BCNCVV-23:59-43:59:00,23:59:00,23:59:00,ESBCN,1,,0,1,,,,
BCNCVV-23:00-43:00:00,43:00:00,43:00:00,ITCVV,2,,1,0,,,,
BCNCVV-23:00-43:00:00,23:00:00,23:00:00,ESBCN,1,,0,1,,,,
BCNCVV-22:45-42:45:00,42:45:00,42:45:00,ITCVV,2,,1,0,,,,
BCNCVV-22:45-42:45:00,22:45:00,22:45:00,ESBCN,1,,0,1,,,,
BCNCVV-22:30-42:30:00,42:30:00,42:30:00,ITCVV,2,,1,0,,,,
BCNCVV-22:30-42:30:00,22:30:00,22:30:00,ESBCN,1,,0,1,,,,
BCNCVV-22:00-42:00:00,42:00:00,42:00:00,ITCVV,2,,1,0,,,,
BCNCVV-22:00-42:00:00,22:00:00,22:00:00,ESBCN,1,,0,1,,,,
BCNCVV-21:45-41:45:00,41:45:00,41:45:00,ITCVV,2,,1,0,,,,
BCNCVV-21:45-41:45:00,21:45:00,21:45:00,ESBCN,1,,0,1,,,,
BCNCVV-21:30-41:30:00,41:30:00,41:30:00,ITCVV,2,,1,0,,,,
BCNCVV-21:30-41:30:00,21:30:00,21:30:00,ESBCN,1,,0,1,,,,
BCNCVV-21:15-41:15:00,41:15:00,41:15:00,ITCVV,2,,1,0,,,,
BCNCVV-21:15-41:15:00,21:15:00,21:15:00,ESBCN,1,,0,1,,,,
