trip_id,origin_name,destination_name,departure_time,arrival_time,distance_km,duration_h,train_type,total_emission_kgco2e
IDFM:TN:SNCF:31913434-ce25-4077-9b2f-9cc321506df6,Laroche - Migennes,Gare de Lyon,05:53:00,07:55:00,129.07897995273925,2.03,Jour,0.52
IDFM:TN:SNCF:3192546e-02cf-4388-8c16-7579ce92fe20,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,13:03:30,14:27:00,128.28970372757354,1.39,Jour,0.51
IDFM:TN:SNCF:31e2fd0d-b72f-4b40-b4a6-b3c37fcae74c,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,18:05:00,19:46:00,128.29830966332557,1.68,Jour,0.51
IDFM:TN:SNCF:32a35e65-c550-43cb-92fa-daa674e9ef61,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,07:03:00,08:30:00,128.28970372757354,1.45,Jour,0.51
IDFM:TN:SNCF:32a82379-d5c5-4c8f-a469-759a2f076791,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,07:03:00,08:38:00,128.28970372757354,1.58,Jour,0.51
IDFM:TN:SNCF:32f05bf6-bdb2-4fb7-9b9e-134b4f2f94ba,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,08:35:00,09:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:33e4adc0-13c8-499a-acd2-7ff83df116bd,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,11:05:00,12:30:00,128.29830966332557,1.42,Jour,0.51
IDFM:TN:SNCF:34535124-a3fe-4b30-afe0-6ecc0aad81ec,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,15:35:00,16:57:30,128.29830966332557,1.37,Jour,0.51
IDFM:TN:SNCF:34809493-482d-407e-9777-45a28cfb7734,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,11:33:00,13:09:00,128.29830966332557,1.6,Jour,0.51
IDFM:TN:SNCF:3484e9f9-bdfe-49b8-ba81-a5fcf6676da6,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,05:03:30,06:35:00,128.29830966332557,1.52,Jour,0.51
IDFM:TN:SNCF:3781a4f2-f7f0-4535-a830-ed7910429ebf,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,13:05:00,14:33:00,128.29830966332557,1.47,Jour,0.51
IDFM:TN:SNCF:381b063a-601c-4c26-a6ed-93d41e40e634,Gare d'Austerlitz,Châteaudun,09:39:00,11:19:00,114.15900905533336,1.67,Jour,0.46
IDFM:TN:SNCF:38624c5d-c8d4-4e8b-8f30-355c8b80e052,Châteaudun,Gare d'Austerlitz,12:09:00,13:37:30,114.15900905533336,1.47,Jour,0.46
IDFM:TN:SNCF:392c4292-89df-4c70-959c-365359898506,Gare de Lyon,Laroche - Migennes,08:33:00,09:56:00,129.07897995273925,1.38,Jour,0.52
IDFM:TN:SNCF:3bb35eb7-82c3-4529-a282-d9a8e5efbbe6,Laroche - Migennes,Gare de Lyon,06:51:00,08:49:00,129.07897995273925,1.97,Jour,0.52
IDFM:TN:SNCF:3bf3ce4b-8717-4137-98f5-4a17f4e906d3,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,10:33:00,11:57:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:3c01de8f-f5f8-4ec9-9a95-156720ed8ef8,Laroche - Migennes,Gare de Lyon,05:53:00,07:48:00,129.07897995273925,1.92,Jour,0.52
IDFM:TN:SNCF:3ca85ea5-19b5-4e0b-83dc-0ec7ed78f038,Châteaudun,Gare d'Austerlitz,17:09:00,18:36:00,114.15900905533336,1.45,Jour,0.46
IDFM:TN:SNCF:3dba610d-866a-4420-ba6d-b8c4b43ee8fe,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,12:04:00,13:27:00,128.28970372757354,1.38,Jour,0.51
IDFM:TN:SNCF:3e27e742-7568-4c9a-b93e-6bb581be99bd,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,19:27:00,20:57:00,128.29830966332557,1.5,Jour,0.51
IDFM:TN:SNCF:3f36db28-eeeb-4341-a778-031daf54be53,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,20:35:00,21:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:3f623395-343a-45c2-b24d-668dffea6d44,Châteaudun,Gare d'Austerlitz,18:54:00,20:25:00,114.15900905533336,1.52,Jour,0.46
IDFM:TN:SNCF:3fa5e3dd-4c98-4881-aaf5-081157ded339,Gare de Lyon,Laroche - Migennes,13:34:00,14:59:00,129.07897995273925,1.42,Jour,0.52
IDFM:TN:SNCF:3fd95c90-e221-4c66-85b1-c113023b3c76,Gare de Lyon,Laroche - Migennes,17:12:00,19:07:30,129.07897995273925,1.93,Jour,0.52
IDFM:TN:SNCF:403ff34b-2d83-483e-bb75-328dd50cbd98,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,21:03:00,22:27:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:40fe38d1-f53d-4f91-9423-28a5210659d8,Gare de Lyon,Laroche - Migennes,11:35:00,12:56:00,129.07897995273925,1.35,Jour,0.52
IDFM:TN:SNCF:41377d60-f213-4838-aa71-9f24c3410ff1,Châteaudun,Gare d'Austerlitz,12:09:00,13:37:30,114.15900905533336,1.47,Jour,0.46
IDFM:TN:SNCF:4170a4dd-4939-466b-8d40-0382cff1df54,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,16:27:00,17:55:00,128.28665759181973,1.47,Jour,0.51
IDFM:TN:SNCF:418ab5ee-e270-45e6-9d68-3c1edbceec2e,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,14:03:00,15:39:00,128.29830966332557,1.6,Jour,0.51
IDFM:TN:SNCF:41f1de99-bbf6-4b0d-acd1-a78dbe6e32ec,Gare de Lyon,Laroche - Migennes,07:34:00,09:00:00,129.07897995273925,1.43,Jour,0.52
IDFM:TN:SNCF:429f6c72-e6bf-4db8-91bf-d5f0b2c60248,Châteaudun,Paris-Bercy Bourgogne - Pays d'Auvergne,12:09:00,13:41:00,114.82414885019467,1.53,Jour,0.46
IDFM:TN:SNCF:4470fe9d-f69a-42ce-aa9c-6f01796cee50,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,21:03:00,22:28:00,128.29830966332557,1.42,Jour,0.51
IDFM:TN:SNCF:44c61248-f80d-4f6e-a1fd-4f871c685eab,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,06:04:00,07:34:00,128.29830966332557,1.5,Jour,0.51
IDFM:TN:SNCF:45c1e99f-b946-4e61-8a2b-73867e6c254f,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,14:03:00,15:27:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:45d801ca-33e2-410e-8a4f-5f7b92fd4a71,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,15:04:00,16:28:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:489c6bc1-1479-4da3-8bfb-aa05f9faae24,Châteaudun,Gare d'Austerlitz,10:54:30,12:36:30,114.15900905533336,1.7,Jour,0.46
IDFM:TN:SNCF:48b9a8e6-111c-4027-bc74-8eb82be6a588,Gare de Lyon,Laroche - Migennes,18:26:30,19:56:00,129.07897995273925,1.49,Jour,0.52
IDFM:TN:SNCF:495334b2-e536-4edc-8d61-0904e14f4548,Gare d'Austerlitz,Châteaudun,09:39:00,11:19:00,114.15900905533336,1.67,Jour,0.46
IDFM:TN:SNCF:49d4177c-2400-4b64-abb1-7265d61bf821,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,19:27:00,20:57:00,128.28665759181973,1.5,Jour,0.51
IDFM:TN:SNCF:4a0dd740-4aab-40c1-8bb1-3ba68e252012,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,12:20:00,13:56:00,128.29830966332557,1.6,Jour,0.51
IDFM:TN:SNCF:4a128b25-a0f8-4bb9-84fd-72a6ca817f8f,Laroche - Migennes,Gare de Lyon,06:51:00,08:49:00,129.07897995273925,1.97,Jour,0.52
IDFM:TN:SNCF:4bb29928-6fca-456a-bfc3-1a9f6dc2a127,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,16:24:00,17:55:00,128.29830966332557,1.52,Jour,0.51
IDFM:TN:SNCF:4d4ad6a2-0500-41e8-9a09-530b99eb1346,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,18:05:00,19:46:00,128.29830966332557,1.68,Jour,0.51
IDFM:TN:SNCF:4dc0d213-9f41-4d13-bcff-ab4b6e471d18,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,12:35:00,13:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:4f22f395-b37b-45aa-b942-dee82324ee4c,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,12:35:00,13:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:4f94155d-17f8-42ef-a121-aaa750680532,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,22:35:00,24:12:00,128.29830966332557,1.62,Jour,0.51
IDFM:TN:SNCF:4fb3894f-96ed-47f0-b0c0-72a034070022,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,10:35:00,11:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:509fc3a5-c9fa-4dad-8fc3-e0f442d8c195,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,16:27:00,17:56:00,128.28665759181973,1.48,Jour,0.51
IDFM:TN:SNCF:51a05cbd-e364-48ac-a1dd-1c0dde335e6e,Laroche - Migennes,Gare de Lyon,16:03:00,17:37:30,129.07897995273925,1.57,Jour,0.52
IDFM:TN:SNCF:51dfb6b3-f8b4-44d9-8ade-37c7e9040419,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,21:03:00,22:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:52595ea0-d2ec-46c8-9dc7-42e2705e849b,Gare d'Austerlitz,Châteaudun,08:12:00,09:44:00,114.15900905533336,1.53,Jour,0.46
IDFM:TN:SNCF:529da154-2866-41f7-8d06-07b30eddce3d,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,10:33:00,12:09:00,128.29830966332557,1.6,Jour,0.51
IDFM:TN:SNCF:54c44ffa-a98c-4c7f-8022-b48dd92b3bf2,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,17:04:00,18:27:00,128.28970372757354,1.38,Jour,0.51
